Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
15-16,Boys,400 FR-R,SCM,3:42.79,3:53.39,4:03.99,4:14.59,4:35.79,4:57.09
15-16,Boys,800 FR-R,SCM,8:14.79,8:38.39,9:01.89,9:25.49,10:12.59,10:59.69
15-16,Boys,200 MED-R,SCM,1:51.19,1:56.49,2:01.79,2:07.09,2:17.69,2:28.29
15-16,Boys,400 MED-R,SCM,4:03.79,4:15.39,4:27.09,4:38.69,5:01.89,5:25.09
17-18,Girls,50 FR,SCM,34.69,32.19,29.69,28.49,27.19,25.99
17-18,Girls,100 FR,SCM,1:15.19,1:09.89,1:04.49,1:01.79,59.09,56.39
17-18,Girls,200 FR,SCM,2:42.69,2:31.09,2:19.39,2:13.59,2:07.79,2:01.99
17-18,Girls,400 FR,SCM,5:46.89,5:22.19,4:57.39,4:44.99,4:32.59,4:20.19
17-18,Girls,800 FR,SCM,12:02.79,11:11.19,10:19.59,9:53.69,9:27.89,9:02.09
17-18,Girls,1500 FR,SCM,22:38.99,21:01.99,19:24.89,18:36.39,17:47.79,16:59.29
17-18,Girls,100 BK,SCM,1:21.09,1:15.29,1:09.49,1:06.59,1:03.69,1:00.79
17-18,Girls,200 BK,SCM,2:55.39,2:42.89,2:30.39,2:24.09,2:17.79,2:11.59
17-18,Girls,100 BR,SCM,1:33.69,1:27.09,1:20.39,1:16.99,1:13.69,1:10.29
17-18,Girls,200 BR,SCM,3:24.09,3:09.49,2:54.89,2:47.59,2:40.39,2:33.09
17-18,Girls,100 FL,SCM,1:21.29,1:15.49,1:09.69,1:06.79,1:03.89,1:00.99
17-18,Girls,200 FL,SCM,2:59.89,2:46.99,2:34.19,2:27.69,2:21.29,2:14.89
17-18,Girls,200 IM,SCM,3:00.69,2:47.79,2:34.89,2:28.49,2:21.99,2:15.59
17-18,Girls,400 IM,SCM,6:27.49,5:59.79,5:32.09,5:18.29,5:04.49,4:50.59
17-18,Girls,200 FR-R,SCM,2:28.79,2:18.19,2:07.59,2:02.29,1:56.89,1:51.59
17-18,Girls,400 FR-R,SCM,5:19.89,4:57.09,4:34.19,4:22.79,4:11.39,3:59.89
17-18,Girls,800 FR-R,SCM,11:38.69,10:48.79,9:58.89,9:33.99,9:08.99,8:43.99
17-18,Girls,200 MED-R,SCM,2:42.29,2:30.69,2:19.09,2:13.29,2:07.49,2:01.69
17-18,Girls,400 MED-R,SCM,5:53.89,5:28.59,5:03.39,4:50.69,4:38.09,4:25.39
17-18,Boys,50 FR,SCM,22.79,23.89,24.99,26.09,28.29,30.39
17-18,Boys,100 FR,SCM,49.99,52.39,54.79,57.19,1:01.89,1:06.69
17-18,Boys,200 FR,SCM,1:50.69,1:55.99,2:01.29,2:06.49,2:17.09,2:27.59
17-18,Boys,400 FR,SCM,3:58.39,4:09.69,4:21.09,4:32.39,4:55.09,5:17.79
17-18,Boys,800 FR,SCM,8:18.89,8:42.69,9:06.39,9:30.19,10:17.69,11:05.19
17-18,Boys,1500 FR,SCM,15:46.09,16:31.09,17:16.19,18:01.19,19:31.29,21:01.39
17-18,Boys,100 BK,SCM,54.09,56.59,59.19,1:01.79,1:10.69,1:16.59,1:22.49
17-18,Boys,200 BK,SCM,1:59.29,2:04.89,2:10.59,2:16.29,2:27.59,2:38.99
17-18,Boys,100 BR,SCM,1:01.89,1:04.89,1:07.79,1:10.69,1:16.59,1:22.49
17-18,Boys,200 BR,SCM,2:14.49,2:20.89,2:27.29,2:33.69,2:46.49,2:59.29
17-18,Boys,100 FL,SCM,54.19,56.79,59.39,1:01.99,1:07.09,1:12.29
17-18,Boys,200 FL,SCM,2:01.39,2:07.09,2:12.89,2:18.69,2:30.19,2:41.79
17-18,Boys,200 IM,SCM,2:02.19,2:07.99,2:13.79,2:19.59,2:31.29,2:42.89
17-18,Boys,400 IM,SCM,4:22.99,4:35.49,4:48.09,5:00.59,5:25.59,5:50.69
17-18,Boys,200 FR-R,SCM,1:35.79,1:40.29,1:44.89,1:49.49,1:58.59,2:07.69
17-18,Boys,400 FR-R,SCM,3:30.29,3:40.39,3:50.39,4:00.39,4:20.39,4:40.39
17-18,Boys,800 FR-R,SCM,7:47.39,8:09.59,8:31.89,8:54.09,9:38.59,10:23.09
17-18,Boys,200 MED-R,SCM,1:44.59,1:49.59,1:54.59,1:59.59,2:09.49,2:19.49
17-18,Boys,400 MED-R,SCM,3:49.39,4:00.39,4:11.29,4:22.19,4:44.09,5:05.89
