Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
12,Girls,100 BR,SCM,106.59,98.69,90.89,86.89,82.99,78.99
12,Girls,200 BR,SCM,227.49,211.19,194.99,186.89,178.69,170.59
12,Girls,50 FL,SCM,40.89,37.99,34.99,33.59,32.09,30.69
12,Girls,100 FL,SCM,95.09,87.49,79.89,76.09,72.29,68.49
12,Girls,200 FL,SCM,202.59,188.19,173.69,166.49,159.19,151.99
12,Girls,100 IM,SCM,94.19,87.49,80.79,77.39,74.09,70.69
12,Girls,200 IM,SCM,203.29,188.79,174.19,166.99,159.69,152.49
12,Girls,400 IM,SCM,433.49,402.49,371.59,356.09,340.59,325.09
12,Boys,50 FR,SCM,27.19,28.49,29.79,31.09,33.69,36.29
12,Boys,100 FR,SCM,59.29,62.09,64.89,67.69,73.39,78.99
12,Boys,200 FR,SCM,129.29,135.49,141.59,147.79,160.09,172.39
12,Boys,400 FR,SCM,275.59,288.69,301.79,314.99,341.19,367.49
12,Boys,800 FR,SCM,579.79,607.39,634.99,662.59,717.89,773.09
12,Boys,1500 FR,SCM,1094.89,1146.99,1199.09,1251.29,1355.49,1459.79
12,Boys,50 BK,SCM,31.19,32.79,34.49,36.09,39.29,42.59
12,Boys,100 BK,SCM,65.79,69.39,72.89,76.49,83.69,90.79
12,Boys,200 BK,SCM,143.29,150.09,156.89,163.69,177.39,190.99
12,Boys,50 BR,SCM,34.89,36.69,38.59,40.49,44.29,48.09
12,Boys,100 BR,SCM,74.99,78.89,82.79,86.69,94.49,102.29
12,Boys,200 BR,SCM,162.79,170.59,178.29,186.09,201.59,217.09
12,Boys,50 FL,SCM,29.59,31.19,32.79,34.49,37.69,40.99
12,Boys,100 FL,SCM,65.29,68.99,72.79,76.49,84.09,91.59
12,Boys,200 FL,SCM,146.49,153.39,160.39,167.39,181.29,195.29
12,Boys,100 IM,SCM,67.49,70.69,73.99,77.29,83.89,90.49
12,Boys,200 IM,SCM,145.99,153.39,160.89,168.29,183.19,198.09
12,Boys,400 IM,SCM,312.79,327.69,342.59,357.49,387.19,416.99
13,Girls,50 FR,SCM,36.79,34.19,31.59,30.19,28.89,27.59
13,Girls,100 FR,SCM,80.09,74.39,68.69,65.79,62.89,60.09
13,Girls,200 FR,SCM,174.29,161.79,149.39,143.19,136.99,130.69
13,Girls,400 FR,SCM,367.99,341.69,315.49,302.29,289.19,275.99
13,Girls,800 FR,SCM,766.39,711.59,656.89,629.49,602.19,574.79
13,Girls,1500 FR,SCM,1447.99,1344.59,1241.19,1189.49,1137.79,1085.99
13,Girls,50 BK,SCM,41.09,38.19,35.29,33.79,32.29,30.89
13,Girls,100 BK,SCM,87.59,81.39,75.09,71.99,68.79,65.69
13,Girls,200 BK,SCM,188.89,175.39,161.89,155.19,148.39,141.69
13,Girls,50 BR,SCM,47.69,44.29,40.89,39.19,37.49,35.79
13,Girls,100 BR,SCM,100.49,93.29,86.19,82.59,78.99,75.39
