standard_type,age_group,age,gender,event,course,b,bb,a,aa,aaa,aaaa
single_age,,11,boys,100 bk,scm,71.89,75.79,79.69,83.59,91.39,99.19
single_age,,11,boys,200 bk,scm,155.49,162.89,170.29,177.69,192.49,207.29
single_age,,11,boys,50 br,scm,37.59,39.59,41.59,43.69,47.79,51.79
single_age,,11,boys,100 br,scm,81.19,85.39,89.69,93.89,102.39,110.79
single_age,,11,boys,200 br,scm,177.49,185.99,194.49,202.89,219.79,236.69
single_age,,11,boys,50 fl,scm,31.89,33.69,35.49,37.19,40.79,44.29
single_age,,11,boys,100 fl,scm,71.19,75.29,79.39,83.49,91.69,99.99
single_age,,11,boys,200 fl,scm,158.89,166.49,174.09,181.59,196.79,211.89
single_age,,11,boys,100 im,scm,72.49,76.09,79.59,83.19,90.19,97.29
single_age,,11,boys,200 im,scm,156.89,164.89,172.89,180.89,196.89,212.89
single_age,,11,boys,400 im,scm,332.79,348.59,364.49,380.29,411.99,443.69
single_age,,12,girls,50 fr,scm,37.59,34.99,32.39,31.09,29.79,28.49
single_age,,12,girls,100 fr,scm,82.59,76.69,70.79,67.79,64.89,61.89
single_age,,12,girls,200 fr,scm,180.49,167.59,154.69,148.29,141.89,135.39
single_age,,12,girls,400 fr,scm,382.69,355.29,327.99,314.29,300.69,286.99
single_age,,12,girls,800 fr,scm,789.89,733.49,676.99,648.79,620.59,592.39
single_age,,12,girls,1500 fr,scm,1498.39,1391.29,1284.29,1230.79,1177.29,1123.79
single_age,,12,girls,50 bk,scm,42.89,39.79,36.79,35.19,33.69,32.19
single_age,,12,girls,100 bk,scm,95.69,88.19,80.59,76.89,73.09,69.29
single_age,,12,girls,200 bk,scm,198.99,184.79,170.59,163.49,156.39,149.29
single_age,,12,girls,50 br,scm,48.59,45.19,41.69,39.99,38.19,36.49
single_age,,12,girls,100 br,scm,106.59,98.69,90.89,86.89,82.99,78.99
single_age,,12,girls,200 br,scm,227.49,211.19,194.99,186.89,178.69,170.59
single_age,,12,girls,50 fl,scm,40.89,37.99,34.99,33.59,32.09,30.69
single_age,,12,girls,100 fl,scm,95.09,87.49,79.89,76.09,72.29,68.49
single_age,,12,girls,200 fl,scm,202.59,188.19,173.69,166.49,159.19,151.99
single_age,,12,girls,100 im,scm,94.19,87.49,80.79,77.39,74.09,70.69
single_age,,12,girls,200 im,scm,203.29,188.79,174.19,166.99,159.69,152.49
single_age,,12,girls,400 im,scm,433.49,402.49,371.59,356.09,340.59,325.09
single_age,,12,boys,50 fr,scm,27.19,28.49,29.79,31.09,33.69,36.29
single_age,,12,boys,100 fr,scm,59.29,62.09,64.89,67.69,73.39,78.99
single_age,,12,boys,200 fr,scm,129.29,135.49,141.59,147.79,160.09,172.39
single_age,,12,boys,400 fr,scm,275.59,288.69,301.79,314.99,341.19,367.49
single_age,,12,boys,800 fr,scm,579.79,607.39,634.99,662.59,717.89,773.09
single_age,,12,boys,1500 fr,scm,1094.89,1146.99,1199.09,1251.29,1355.49,1459.79
single_age,,12,boys,50 bk,scm,31.19,32.79,34.49,36.09,39.29,42.59
single_age,,12,boys,100 bk,scm,65.79,69.39,72.89,76.49,83.69,90.79
single_age,,12,boys,200 bk,scm,143.29,150.09,156.89,163.69,177.39,190.99
single_age,,12,boys,50 br,scm,34.89,36.69,38.59,40.49,44.29,48.09
single_age,,12,boys,100 br,scm,74.99,78.89,82.79,86.69,94.49,102.29
single_age,,12,boys,200 br,scm,162.79,170.59,178.29,186.09,201.59,217.09
single_age,,12,boys,50 fl,scm,29.59,31.19,32.79,34.49,37.69,40.99
single_age,,12,boys,100 fl,scm,65.29,68.99,72.79,76.49,84.09,91.59
single_age,,12,boys,200 fl,scm,146.49,153.39,160.39,167.39,181.29,195.29
single_age,,12,boys,100 im,scm,67.49,70.69,73.99,77.29,83.89,90.49
single_age,,12,boys,200 im,scm,145.99,153.39,160.89,168.29,183.19,198.09
single_age,,12,boys,400 im,scm,312.79,327.69,342.59,357.49,387.19,416.99
single_age,,13,girls,50 fr,scm,36.79,34.19,31.59,30.19,28.89,27.59
single_age,,13,girls,100 fr,scm,80.09,74.39,68.69,65.79,62.89,60.09
single_age,,13,girls,200 fr,scm,174.29,161.79,149.39,143.19,136.99,130.69
single_age,,13,girls,400 fr,scm,367.99,341.69,315.49,302.29,289.19,275.99
single_age,,13,girls,800 fr,scm,766.39,711.59,656.89,629.49,602.19,574.79
single_age,,13,girls,1500 fr,scm,1447.99,1344.59,1241.19,1189.49,1137.79,1085.99
single_age,,13,girls,50 bk,scm,41.09,38.19,35.29,33.79,32.29,30.89
single_age,,13,girls,100 bk,scm,87.59,81.39,75.09,71.99,68.79,65.69
single_age,,13,girls,200 bk,scm,188.89,175.39,161.89,155.19,148.39,141.69
single_age,,13,girls,50 br,scm,47.69,44.29,40.89,39.19,37.49,35.79
single_age,,13,girls,100 br,scm,100.49,93.29,86.19,82.59,78.99,75.39
single_age,,13,girls,200 br,scm,216.49,201.09,185.59,177.89,170.09,162.39
single_age,,13,girls,50 fl,scm,40.49,37.69,34.79,33.29,31.89,30.39
single_age,,13,girls,100 fl,scm,87.19,80.99,74.69,71.59,68.49,65.39
single_age,,13,girls,200 fl,scm,194.79,180.89,166.99,159.99,153.09,146.09
single_age,,13,girls,200 im,scm,195.19,181.29,167.29,160.39,153.39,146.39
single_age,,13,girls,400 im,scm,413.39,383.89,354.39,339.59,324.89,310.09
single_age,,13,boys,50 fr,scm,25.79,26.99,28.19,29.49,31.89,34.39
single_age,,13,boys,100 fr,scm,55.99,58.69,61.29,63.99,69.29,74.59
single_age,,13,boys,200 fr,scm,122.49,128.29,134.09,139.99,151.59,163.29
single_age,,13,boys,400 fr,scm,261.69,274.09,286.59,298.99,323.99,348.89
single_age,,13,boys,800 fr,scm,541.39,567.09,592.89,618.69,670.19,721.79
single_age,,13,boys,1500 fr,scm,1034.39,1083.59,1132.89,1182.09,1280.59,1379.09
single_age,,13,boys,50 bk,scm,29.39,30.79,32.19,33.59,36.39,39.09
single_age,,13,boys,100 bk,scm,61.59,64.59,67.49,70.39,76.29,82.19
single_age,,13,boys,200 bk,scm,134.39,140.79,147.19,153.59,166.39,179.19
single_age,,13,boys,50 br,scm,33.59,35.19,36.79,38.39,41.59,44.69
single_age,,13,boys,100 br,scm,69.89,73.19,76.59,79.89,86.49,93.19
single_age,,13,boys,200 br,scm,151.59,158.89,166.09,173.29,187.69,202.19
single_age,,13,boys,50 fl,scm,28.79,30.09,31.49,32.89,35.59,38.29
single_age,,13,boys,100 fl,scm,61.09,64.09,66.99,69.89,75.69,81.49
single_age,,13,boys,200 fl,scm,136.99,143.49,149.99,156.49,169.59,182.59
single_age,,13,boys,200 im,scm,136.49,142.99,149.49,155.99,168.99,181.99
single_age,,13,boys,400 im,scm,292.39,306.29,320.29,334.19,361.99,389.89
single_age,,14,girls,50 fr,scm,36.09,33.49,30.99,29.69,28.39,27.09
single_age,,14,girls,100 fr,scm,78.49,72.89,67.29,64.49,61.69,58.89
single_age,,14,girls,200 fr,scm,169.99,157.79,145.69,139.59,133.59,127.49
single_age,,14,girls,400 fr,scm,360.79,334.99,309.29,296.39,283.49,270.59
single_age,,14,girls,800 fr,scm,745.59,692.29,639.09,612.49,585.79,559.19
single_age,,14,girls,1500 fr,scm,1416.69,1315.49,1214.29,1163.69,1113.09,1062.59
single_age,,14,girls,50 bk,scm,40.39,37.49,34.59,33.19,31.79,30.29
single_age,,14,girls,100 bk,scm,85.29,79.19,73.09,70.09,66.99,63.99
single_age,,14,girls,200 bk,scm,185.49,172.29,158.99,152.39,145.79,139.19
single_age,,14,girls,50 br,scm,46.49,43.19,39.89,38.19,36.59,34.89
single_age,,14,girls,100 br,scm,98.09,91.09,84.09,80.59,77.09,73.59
single_age,,14,girls,200 br,scm,211.09,195.99,180.89,173.39,165.89,158.29
single_age,,14,girls,50 fl,scm,39.79,36.89,34.09,32.69,31.29,29.89
single_age,,14,girls,100 fl,scm,84.99,78.89,72.79,69.79,66.79,63.69
single_age,,14,girls,200 fl,scm,189.39,175.89,162.29,155.59,148.79,142.09
single_age,,14,girls,200 im,scm,190.69,177.09,163.39,156.59,149.79,142.99
single_age,,14,girls,400 im,scm,404.59,375.69,346.79,332.39,317.89,303.49
single_age,,14,boys,50 fr,scm,24.79,25.89,27.09,28.29,30.69,32.99
single_age,,14,boys,100 fr,scm,53.99,56.49,59.09,61.69,66.79,71.89
single_age,,14,boys,200 fr,scm,118.19,123.79,129.39,134.99,146.29,157.49
single_age,,14,boys,400 fr,scm,253.29,265.39,277.39,289.49,313.59,337.69
single_age,,14,boys,800 fr,scm,525.99,551.09,576.09,601.19,651.29,701.29
single_age,,14,boys,1500 fr,scm,1001.49,1049.09,1096.79,1144.49,1239.89,1335.29
single_age,,14,boys,50 bk,scm,27.89,29.19,30.59,31.89,34.59,37.19
single_age,,14,boys,100 bk,scm,59.09,61.99,64.79,67.59,73.19,78.79
single_age,,14,boys,200 bk,scm,128.59,134.79,140.89,146.99,159.29,171.49
single_age,,14,boys,50 br,scm,31.99,33.49,34.99,36.49,39.59,42.59
single_age,,14,boys,100 br,scm,66.79,69.99,73.19,76.39,82.69,89.09
single_age,,14,boys,200 br,scm,145.29,152.19,159.09,166.09,179.89,193.69
single_age,,14,boys,50 fl,scm,27.49,28.79,30.09,31.39,33.99,36.59
single_age,,14,boys,100 fl,scm,58.39,61.19,63.99,66.79,72.29,77.89
single_age,,14,boys,200 fl,scm,129.99,136.19,142.39,148.59,160.99,173.29
single_age,,14,boys,200 im,scm,130.89,137.19,143.39,149.59,162.09,174.59
single_age,,14,boys,400 im,scm,279.89,293.19,306.49,319.89,346.49,373.19
single_age,,15,girls,50 fr,scm,35.59,33.09,30.59,29.29,27.99,26.69
single_age,,15,girls,100 fr,scm,77.49,71.99,66.39,63.69,60.89,58.09
single_age,,15,girls,200 fr,scm,167.19,155.29,143.39,137.39,131.39,125.39
single_age,,15,girls,400 fr,scm,357.09,331.59,306.09,293.39,280.59,267.89
single_age,,15,girls,800 fr,scm,734.89,682.39,629.89,603.69,577.39,551.19
single_age,,15,girls,1500 fr,scm,1412.39,1311.49,1210.69,1160.19,1109.79,1059.29
single_age,,15,girls,100 bk,scm,83.89,77.89,71.89,68.89,65.89,62.89
single_age,,15,girls,200 bk,scm,182.19,169.19,156.19,149.59,143.09,136.59
single_age,,15,girls,100 br,scm,96.69,89.79,82.89,79.39,75.99,72.49
single_age,,15,girls,200 br,scm,207.89,193.09,178.19,170.79,163.39,155.99
single_age,,15,girls,100 fl,scm,83.69,77.79,71.79,68.79,65.79,62.79
single_age,,15,girls,200 fl,scm,185.89,172.59,159.29,152.69,146.09,139.39
single_age,,15,girls,200 im,scm,186.69,173.29,159.99,153.39,146.69,139.99
single_age,,15,girls,400 im,scm,400.89,372.29,343.59,329.29,314.99,300.69
single_age,,15,boys,50 fr,scm,23.89,25.09,26.19,27.29,29.59,31.89
single_age,,15,boys,100 fr,scm,52.49,54.99,57.49,59.99,64.99,69.99
single_age,,15,boys,200 fr,scm,114.59,120.09,125.59,130.99,141.89,152.79
single_age,,15,boys,400 fr,scm,246.99,258.69,270.49,282.29,305.79,329.29
single_age,,15,boys,800 fr,scm,514.29,538.79,563.29,587.79,636.79,685.69
single_age,,15,boys,1500 fr,scm,974.89,1021.29,1067.69,1114.09,1206.99,1299.79
single_age,,15,boys,100 bk,scm,57.59,60.29,63.09,65.79,71.29,76.79
single_age,,15,boys,200 bk,scm,125.79,131.79,137.79,143.79,155.79,167.69
single_age,,15,boys,100 br,scm,65.09,68.19,71.29,74.39,80.59,86.79
single_age,,15,boys,200 br,scm,142.09,148.89,155.69,162.39,175.99,189.49
single_age,,15,boys,100 fl,scm,56.89,59.69,62.39,65.09,70.49,75.89
single_age,,15,boys,200 fl,scm,127.59,133.69,139.79,145.79,157.99,170.09
single_age,,15,boys,200 im,scm,127.79,133.89,139.99,146.09,158.19,170.39
single_age,,15,boys,400 im,scm,274.79,287.89,300.99,313.99,340.19,366.39
single_age,,16,girls,50 fr,scm,35.29,32.79,30.29,28.99,27.79,26.49
single_age,,16,girls,100 fr,scm,76.59,71.19,65.69,62.99,60.19,57.49
single_age,,16,girls,200 fr,scm,165.09,153.29,141.49,135.59,129.69,123.79
single_age,,16,girls,400 fr,scm,352.29,327.19,301.99,289.39,276.79,264.29
single_age,,16,girls,800 fr,scm,733.39,681.09,628.69,602.49,576.29,550.09
single_age,,16,girls,1500 fr,scm,1394.89,1295.29,1195.69,1145.79,1095.99,1046.19
single_age,,16,girls,100 bk,scm,82.89,76.89,70.99,68.09,65.09,62.19
single_age,,16,girls,200 bk,scm,179.59,166.69,153.89,147.49,141.09,134.69
single_age,,16,girls,100 br,scm,95.69,88.79,81.99,78.59,75.19,71.79
single_age,,16,girls,200 br,scm,207.09,192.39,177.59,170.19,162.79,155.39
single_age,,16,girls,100 fl,scm,82.59,76.69,70.79,67.89,64.89,61.99
single_age,,16,girls,200 fl,scm,183.79,170.69,157.59,150.99,144.49,137.89
single_age,,16,girls,200 im,scm,184.89,171.69,158.49,151.89,145.29,138.69
single_age,,16,girls,400 im,scm,395.79,367.49,339.29,325.09,310.99,296.89
single_age,,16,boys,50 fr,scm,23.59,24.69,25.79,26.99,29.19,31.39
single_age,,16,boys,100 fr,scm,51.69,54.19,56.59,59.09,63.99,68.89
single_age,,16,boys,200 fr,scm,112.99,118.29,123.69,129.09,139.79,150.59
single_age,,16,boys,400 fr,scm,243.09,254.69,266.29,277.79,300.99,324.09
single_age,,16,boys,800 fr,scm,506.49,530.59,554.79,578.89,627.09,675.29
single_age,,16,boys,1500 fr,scm,959.19,1004.89,1050.49,1096.19,1187.59,1278.89
single_age,,16,boys,100 bk,scm,56.19,58.89,61.49,64.19,69.49,74.89
single_age,,16,boys,200 bk,scm,123.09,128.89,134.79,140.59,152.29,164.09
single_age,,16,boys,100 br,scm,63.79,66.79,69.89,72.89,78.99,85.09
single_age,,16,boys,200 br,scm,138.49,145.09,151.69,158.29,171.39,184.59
single_age,,16,boys,100 fl,scm,55.79,58.39,61.09,63.69,68.99,74.29
single_age,,16,boys,200 fl,scm,124.89,130.89,136.79,142.79,154.69,166.59
single_age,,16,boys,200 im,scm,125.39,131.39,137.29,143.29,155.19,167.19
single_age,,16,boys,400 im,scm,268.49,281.19,293.99,306.79,332.39,357.89
single_age,,17,girls,50 fr,scm,35.09,32.59,30.09,28.79,27.59,26.29
single_age,,17,girls,100 fr,scm,76.09,70.69,65.19,62.49,59.79,57.09
single_age,,17,girls,200 fr,scm,164.59,152.79,141.09,135.19,129.29,123.39
single_age,,17,girls,400 fr,scm,351.49,326.39,301.29,288.69,276.19,263.59
single_age,,17,girls,800 fr,scm,727.09,675.19,623.29,597.29,571.29,545.39
single_age,,17,girls,1500 fr,scm,1387.39,1288.29,1189.19,1139.69,1090.09,1040.59
single_age,,17,girls,100 bk,scm,82.29,76.39,70.59,67.59,64.69,61.69
single_age,,17,girls,200 bk,scm,178.59,165.79,153.09,146.69,140.29,133.99
single_age,,17,girls,100 br,scm,94.59,87.79,81.09,77.69,74.29,70.89
single_age,,17,girls,200 br,scm,206.39,191.69,176.89,169.59,162.19,154.79
single_age,,17,girls,100 fl,scm,81.89,75.99,70.19,67.29,64.39,61.39
single_age,,17,girls,200 fl,scm,182.39,169.39,156.29,149.79,143.29,136.79
single_age,,17,girls,200 im,scm,183.59,170.49,157.39,150.79,144.29,137.69
single_age,,17,girls,400 im,scm,391.29,363.29,335.39,321.39,307.39,293.49
single_age,,17,boys,50 fr,scm,23.29,24.39,25.49,26.59,28.79,30.99
single_age,,17,boys,100 fr,scm,50.89,53.29,55.69,58.19,62.99,67.79
single_age,,17,boys,200 fr,scm,112.19,117.49,122.89,128.19,138.89,149.59
single_age,,17,boys,400 fr,scm,241.09,252.49,263.99,275.49,298.49,321.39
single_age,,17,boys,800 fr,scm,504.89,528.89,552.99,576.99,625.09,673.19
single_age,,17,boys,1500 fr,scm,958.09,1003.79,1049.39,1094.99,1186.29,1277.49
single_age,,17,boys,100 bk,scm,55.39,57.99,60.69,63.29,68.59,73.79
single_age,,17,boys,200 bk,scm,121.09,126.89,132.59,138.39,149.89,161.39
single_age,,17,boys,100 br,scm,62.59,65.59,68.59,71.49,77.49,83.49
single_age,,17,boys,200 br,scm,136.09,142.59,149.09,155.59,168.49,181.49
single_age,,17,boys,100 fl,scm,54.79,57.39,60.09,62.69,67.89,73.09
single_age,,17,boys,200 fl,scm,123.29,129.19,135.09,140.89,152.69,164.39
single_age,,17,boys,200 im,scm,123.99,129.89,135.79,141.69,153.49,165.29
single_age,,17,boys,400 im,scm,266.79,279.49,292.19,304.99,330.39,355.79
single_age,,18,girls,50 fr,scm,34.79,32.29,29.89,28.59,27.39,26.09
single_age,,18,girls,100 fr,scm,75.59,70.19,64.79,62.09,59.39,56.69
single_age,,18,girls,200 fr,scm,164.19,152.49,140.89,134.89,128.99,123.09
single_age,,18,girls,400 fr,scm,348.39,323.49,298.59,286.19,273.79,261.29
single_age,,18,girls,800 fr,scm,730.09,677.89,625.79,599.69,573.59,547.59
single_age,,18,girls,1500 fr,scm,1367.19,1269.49,1171.89,1123.09,1074.19,1025.39
single_age,,18,girls,100 bk,scm,82.19,76.39,70.49,67.59,64.59,61.69
single_age,,18,girls,200 bk,scm,178.79,165.99,153.19,146.89,140.49,134.09
single_age,,18,girls,100 br,scm,94.09,87.39,80.69,77.29,73.99,70.59
single_age,,18,girls,200 br,scm,204.29,189.79,175.19,167.89,160.59,153.29
single_age,,18,girls,100 fl,scm,81.59,75.79,69.99,67.09,64.09,61.19
single_age,,18,girls,200 fl,scm,180.69,167.79,154.89,148.49,141.99,135.59
single_age,,18,girls,200 im,scm,183.59,170.49,157.39,150.79,144.19,137.69
single_age,,18,girls,400 im,scm,391.09,363.09,335.19,321.19,307.29,293.29
single_age,,18,boys,50 fr,scm,22.89,23.99,25.09,26.19,28.29,30.49
single_age,,18,boys,100 fr,scm,50.29,52.69,55.09,57.49,62.29,67.09
single_age,,18,boys,200 fr,scm,111.09,116.39,121.69,126.99,137.59,148.19
single_age,,18,boys,400 fr,scm,239.39,250.79,262.19,273.59,296.39,319.19
single_age,,18,boys,800 fr,scm,502.99,526.99,550.89,574.89,622.79,670.69
single_age,,18,boys,1500 fr,scm,952.39,997.79,1043.09,1088.49,1179.19,1269.89
single_age,,18,boys,100 bk,scm,54.39,56.99,59.59,62.09,67.29,72.49
single_age,,18,boys,200 bk,scm,119.69,125.39,131.09,136.69,148.09,159.49
single_age,,18,boys,100 br,scm,62.09,65.09,67.99,70.99,76.89,82.79
single_age,,18,boys,200 br,scm,134.99,141.39,147.89,154.29,167.09,179.99
single_age,,18,boys,100 fl,scm,54.39,56.99,59.59,62.09,67.29,72.49
single_age,,18,boys,200 fl,scm,122.29,128.09,133.89,139.69,151.39,162.99
single_age,,18,boys,200 im,scm,122.59,128.39,134.19,140.09,151.69,163.39
single_age,,18,boys,400 im,scm,264.49,277.09,289.69,302.29,327.49,352.59
single_age,,10,girls,50 fr,lcm,45.39,40.99,36.59,35.09,33.69,32.19
single_age,,10,girls,100 fr,lcm,104.19,93.09,81.99,78.29,74.59,70.89
single_age,,10,girls,200 fr,lcm,230.99,205.69,180.39,171.99,163.49,155.09
single_age,,10,girls,400 fr,lcm,469.09,422.19,375.29,359.69,343.99,328.39
single_age,,10,girls,50 bk,lcm,55.79,49.69,43.59,41.59,39.49,37.49
single_age,,10,girls,100 bk,lcm,121.99,108.49,94.99,90.39,85.89,81.39
single_age,,10,girls,50 br,lcm,62.19,55.49,48.79,46.49,44.29,42.09
single_age,,10,girls,100 br,lcm,139.49,123.99,108.49,103.39,98.19,93.09
single_age,,10,girls,50 fl,lcm,54.49,48.09,41.59,39.49,37.29,35.19
single_age,,10,girls,100 fl,lcm,133.39,115.89,98.49,92.59,86.79,80.99
single_age,,10,girls,200 im,lcm,256.19,229.29,202.39,193.49,184.49,175.59
single_age,,10,boys,50 fr,lcm,31.69,32.99,34.39,35.69,39.79,43.89
single_age,,10,boys,100 fr,lcm,69.79,73.29,76.79,80.19,90.69,101.09
single_age,,10,boys,200 fr,lcm,151.99,159.19,166.39,173.69,195.39,217.09
single_age,,10,boys,400 fr,lcm,321.29,336.59,351.89,367.19,413.09,458.99
single_age,,10,boys,50 bk,lcm,36.99,38.99,41.09,43.09,49.29,55.39
single_age,,10,boys,100 bk,lcm,79.99,84.09,88.19,92.29,104.49,116.69
single_age,,10,boys,50 br,lcm,41.49,43.59,45.79,47.89,54.39,60.89
single_age,,10,boys,100 br,lcm,91.89,96.49,101.09,105.59,119.39,133.09
single_age,,10,boys,50 fl,lcm,34.69,36.59,38.59,40.59,46.39,52.29
single_age,,10,boys,100 fl,lcm,79.59,85.19,90.69,96.29,112.89,129.59
single_age,,10,boys,200 im,lcm,172.49,181.09,189.69,198.29,224.09,249.89
single_age,,11,girls,50 fr,lcm,40.39,37.59,34.79,33.39,31.99,30.59
single_age,,11,girls,100 fr,lcm,89.19,82.79,76.49,73.29,70.09,66.89
single_age,,11,girls,200 fr,lcm,192.99,179.19,165.39,158.49,151.69,144.79
single_age,,11,girls,400 fr,lcm,408.69,379.49,350.29,335.79,321.19,306.59
single_age,,11,girls,800 fr,lcm,868.29,806.29,744.29,713.29,682.29,651.19
single_age,,11,girls,1500 fr,lcm,1677.39,1557.59,1437.79,1377.89,1317.99,1257.99
single_age,,11,girls,50 bk,lcm,46.79,43.49,40.09,38.49,36.79,35.09
single_age,,11,girls,100 bk,lcm,105.79,97.49,89.19,84.99,80.79,76.69
single_age,,11,girls,200 bk,lcm,220.49,204.79,188.99,181.19,173.29,165.39
single_age,,11,girls,50 br,lcm,52.29,48.59,44.89,42.99,41.09,39.29
single_age,,11,girls,100 br,lcm,115.89,107.29,98.79,94.49,90.19,85.89
single_age,,11,girls,200 br,lcm,248.29,230.59,212.79,203.99,195.09,186.19
single_age,,11,girls,50 fl,lcm,43.59,40.49,37.39,35.89,34.29,32.69
single_age,,11,girls,100 fl,lcm,103.39,95.09,86.89,82.69,78.59,74.49
single_age,,11,girls,200 fl,lcm,226.89,210.69,194.49,186.39,178.29,170.19
single_age,,11,girls,200 im,lcm,220.59,204.89,189.09,181.19,173.29,165.49
single_age,,11,girls,400 im,lcm,475.89,441.99,407.99,390.99,373.99,356.99
single_age,,11,boys,50 fr,lcm,29.89,31.39,32.79,34.19,37.09,39.89
single_age,,11,boys,100 fr,lcm,65.89,68.99,72.09,75.29,81.49,87.79
single_age,,11,boys,200 fr,lcm,142.39,149.09,155.89,162.69,176.19,189.79
single_age,,11,boys,400 fr,lcm,301.29,315.69,329.99,344.39,373.09,401.79
single_age,,11,boys,800 fr,lcm,634.99,665.29,695.49,725.79,786.19,846.69
single_age,,11,boys,1500 fr,lcm,1233.29,1291.99,1350.79,1409.49,1526.89,1644.39
single_age,,11,boys,50 bk,lcm,34.89,36.69,38.49,40.29,43.99,47.59
single_age,,11,boys,100 bk,lcm,75.89,79.99,84.09,88.19,96.49,104.69
single_age,,11,boys,200 bk,lcm,162.69,170.49,178.19,185.99,201.49,216.99
single_age,,11,boys,50 br,lcm,38.69,40.79,42.89,44.99,49.19,53.39
single_age,,11,boys,100 br,lcm,85.89,90.29,94.79,99.29,108.19,117.19
single_age,,11,boys,200 br,lcm,185.79,194.59,203.39,212.29,229.99,247.69
single_age,,11,boys,50 fl,lcm,32.59,34.39,36.19,37.99,41.59,45.29
single_age,,11,boys,100 fl,lcm,73.69,77.99,82.19,86.49,94.99,103.49
single_age,,11,boys,200 fl,lcm,165.99,173.89,181.79,189.69,205.49,221.29
single_age,,11,boys,200 im,lcm,162.59,170.89,179.19,187.49,204.09,220.69
single_age,,11,boys,400 im,lcm,349.99,366.59,383.29,399.99,433.29,466.59
single_age,,12,girls,50 fr,lcm,38.69,35.99,33.39,31.99,30.69,29.29
single_age,,12,girls,100 fr,lcm,85.69,79.59,73.49,70.39,67.29,64.29
single_age,,12,girls,200 fr,lcm,186.79,173.49,160.09,153.49,146.79,140.09
single_age,,12,girls,400 fr,lcm,392.89,364.79,336.79,322.79,308.69,294.69
single_age,,12,girls,800 fr,lcm,822.39,763.69,704.89,675.59,646.19,616.79
single_age,,12,girls,1500 fr,lcm,1573.99,1461.59,1349.19,1292.89,1236.69,1180.49
single_age,,12,girls,50 bk,lcm,44.89,41.69,38.49,36.89,35.29,33.69
single_age,,12,girls,100 bk,lcm,100.59,92.69,84.79,80.79,76.89,72.89
single_age,,12,girls,200 bk,lcm,208.19,193.29,178.39,170.99,163.59,156.09
single_age,,12,girls,50 br,lcm,49.79,46.19,42.69,40.89,39.09,37.39
single_age,,12,girls,100 br,lcm,110.39,102.19,93.99,89.99,85.89,81.79
single_age,,12,girls,200 br,lcm,237.29,220.29,203.39,194.89,186.39,177.99
single_age,,12,girls,50 fl,lcm,41.79,38.79,35.79,34.29,32.89,31.39
single_age,,12,girls,100 fl,lcm,98.39,90.59,82.69,78.79,74.79,70.89
single_age,,12,girls,200 fl,lcm,211.09,195.99,180.89,173.39,165.89,158.29
single_age,,12,girls,200 im,lcm,210.79,195.79,180.69,173.19,165.59,158.09
single_age,,12,girls,400 im,lcm,448.89,416.79,384.79,368.69,352.69,336.69
single_age,,12,boys,50 fr,lcm,28.09,29.39,30.79,32.09,34.79,37.39
single_age,,12,boys,100 fr,lcm,61.59,64.49,67.49,70.39,76.19,82.09
single_age,,12,boys,200 fr,lcm,134.39,140.79,147.19,153.59,166.39,179.19
single_age,,12,boys,400 fr,lcm,285.89,299.49,313.09,326.69,353.99,381.19
single_age,,12,boys,800 fr,lcm,601.89,630.59,659.19,687.89,745.19,802.49
single_age,,12,boys,1500 fr,lcm,1163.89,1219.29,1274.69,1330.19,1440.99,1551.79
single_age,,12,boys,50 bk,lcm,32.69,34.39,36.09,37.79,41.19,44.59
single_age,,12,boys,100 bk,lcm,70.39,74.29,78.09,81.89,89.59,97.19
single_age,,12,boys,200 bk,lcm,152.19,159.49,166.69,173.99,188.49,202.99
single_age,,12,boys,50 br,lcm,36.09,38.09,39.99,41.99,45.89,49.79
single_age,,12,boys,100 br,lcm,78.99,83.09,87.19,91.29,99.59,107.79
single_age,,12,boys,200 br,lcm,170.99,179.09,187.19,195.39,211.59,227.89
single_age,,12,boys,50 fl,lcm,30.29,31.99,33.59,35.29,38.69,41.99
single_age,,12,boys,100 fl,lcm,67.79,71.69,75.59,79.49,87.29,95.09
single_age,,12,boys,200 fl,lcm,154.09,161.49,168.79,176.09,190.79,205.49
single_age,,12,boys,200 im,lcm,151.09,158.79,166.49,174.19,189.59,204.99
single_age,,12,boys,400 im,lcm,328.39,344.09,359.69,375.39,406.59,437.89
single_age,,13,girls,50 fr,lcm,38.09,35.39,32.59,31.29,29.89,28.59
single_age,,13,girls,100 fr,lcm,82.79,76.89,70.99,67.99,64.99,62.09
single_age,,13,girls,200 fr,lcm,180.39,167.59,154.69,148.19,141.79,135.29
single_age,,13,girls,400 fr,lcm,379.09,352.09,324.99,311.39,297.89,284.39
single_age,,13,girls,800 fr,lcm,785.99,729.89,673.79,645.69,617.59,589.49
single_age,,13,girls,1500 fr,lcm,1508.99,1401.19,1293.39,1239.49,1185.59,1131.69
single_age,,13,girls,50 bk,lcm,43.79,40.59,37.49,35.99,34.39,32.79
single_age,,13,girls,100 bk,lcm,92.59,85.99,79.39,76.09,72.79,69.39
single_age,,13,girls,200 bk,lcm,199.79,185.49,171.19,164.09,156.99,149.79
single_age,,13,girls,50 br,lcm,49.09,45.59,42.09,40.29,38.59,36.79
single_age,,13,girls,100 br,lcm,104.69,97.29,89.79,85.99,82.29,78.59
single_age,,13,girls,200 br,lcm,225.79,209.69,193.49,185.49,177.39,169.29
