standard_type,age_group,age,gender,event,course,b,bb,a,aa,aaa,aaaa
single_age,,10,boys,200 im,scy,150.89,158.39,165.89,173.49,195.99,218.59
single_age,,11,girls,50 fr,scy,35.39,32.99,30.49,29.29,28.09,26.79
single_age,,11,girls,100 fr,scy,77.69,72.19,66.59,63.79,61.09,58.29
single_age,,11,girls,200 fr,scy,169.09,157.09,144.99,138.89,132.89,126.89
single_age,,11,girls,500 fr,scy,453.99,421.59,389.19,372.99,356.79,340.49
single_age,,11,girls,1000 fr,scy,944.49,876.99,809.59,775.79,742.09,708.39
single_age,,11,girls,1650 fr,scy,1604.99,1490.29,1375.69,1318.39,1261.09,1203.69
single_age,,11,girls,50 bk,scy,40.59,37.69,34.79,33.39,31.89,30.49
single_age,,11,girls,100 bk,scy,90.69,83.59,76.39,72.79,69.29,65.69
single_age,,11,girls,200 bk,scy,189.69,176.19,162.59,155.89,149.09,142.29
single_age,,11,girls,50 br,scy,45.49,42.29,38.99,37.39,35.79,34.09
single_age,,11,girls,100 br,scy,100.29,92.89,85.49,81.79,78.09,74.39
single_age,,11,girls,200 br,scy,215.39,199.99,184.59,176.89,169.19,161.49
single_age,,11,girls,50 fl,scy,38.89,36.09,33.39,31.99,30.59,29.19
single_age,,11,girls,100 fl,scy,90.79,83.49,76.29,72.59,68.99,65.39
single_age,,11,girls,200 fl,scy,196.49,182.39,168.39,161.39,154.39,147.39
single_age,,11,girls,100 im,scy,88.69,82.29,75.99,72.79,69.69,66.49
single_age,,11,girls,200 im,scy,192.79,178.99,165.19,158.39,151.49,144.59
single_age,,11,girls,400 im,scy,412.09,382.69,353.29,338.49,323.79,309.09
single_age,,11,boys,50 fr,scy,26.29,27.59,28.79,30.09,32.59,35.09
single_age,,11,boys,100 fr,scy,57.09,59.79,62.49,65.19,70.59,76.09
single_age,,11,boys,200 fr,scy,124.99,130.89,136.89,142.79,154.69,166.59
single_age,,11,boys,500 fr,scy,334.69,350.59,366.59,382.49,414.39,446.19
single_age,,11,boys,1000 fr,scy,703.99,737.59,771.09,804.59,871.69,938.69
single_age,,11,boys,1650 fr,scy,1194.09,1250.99,1307.79,1364.69,1478.39,1592.09
single_age,,11,boys,50 bk,scy,30.19,31.79,33.39,34.89,38.09,41.19
single_age,,11,boys,100 bk,scy,64.99,68.59,72.09,75.59,82.69,89.79
single_age,,11,boys,200 bk,scy,140.69,147.39,154.09,160.79,174.19,187.59
single_age,,11,boys,50 br,scy,33.99,35.79,37.69,39.49,43.19,46.89
single_age,,11,boys,100 br,scy,73.49,77.29,81.19,84.99,92.59,100.29
single_age,,11,boys,200 br,scy,160.69,168.29,175.99,183.59,198.89,214.19
single_age,,11,boys,50 fl,scy,28.89,30.49,32.09,33.69,36.89,40.09
single_age,,11,boys,100 fl,scy,64.49,68.19,71.89,75.59,82.99,90.49
single_age,,11,boys,200 fl,scy,143.79,150.69,157.49,164.39,178.09,191.79
single_age,,11,boys,100 im,scy,65.69,68.89,72.09,75.29,81.69,88.09
single_age,,11,boys,200 im,scy,141.99,149.29,156.49,163.69,178.19,192.69
single_age,,11,boys,400 im,scy,301.19,315.49,329.79,344.19,372.79,401.49
