Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
12,Boys,200 FR,SCY,116.99,122.59,128.19,133.69,144.89,155.99
12,Boys,500 FR,SCY,314.99,329.99,344.99,359.99,389.99,419.89
12,Boys,1000 FR,SCY,662.59,694.19,725.79,757.29,820.39,883.49
12,Boys,1650 FR,SCY,1101.49,1153.89,1206.39,1258.79,1363.69,1468.59
12,Boys,50 BK,SCY,28.19,29.69,31.19,32.69,35.59,38.49
12,Boys,100 BK,SCY,59.49,62.79,65.99,69.29,75.69,82.19
12,Boys,200 BK,SCY,129.69,135.89,141.99,148.19,160.49,172.89
12,Boys,50 BR,SCY,31.49,33.29,34.99,36.69,40.09,43.49
12,Boys,100 BR,SCY,67.79,71.39,74.89,78.39,85.49,92.59
12,Boys,200 BR,SCY,147.39,154.39,161.39,168.39,182.39,196.49
12,Boys,50 FL,SCY,26.69,28.19,29.69,31.19,34.19,37.09
12,Boys,100 FL,SCY,59.09,62.49,65.89,69.29,76.09,82.89
12,Boys,200 FL,SCY,132.49,138.89,145.19,151.49,164.09,176.69
12,Boys,100 IM,SCY,61.09,63.99,66.99,69.99,75.89,81.89
12,Boys,200 IM,SCY,132.09,138.79,145.59,152.29,165.79,179.29
12,Boys,400 IM,SCY,283.09,296.49,309.99,323.49,350.49,377.39
13,Girls,50 FR,SCY,33.29,30.89,28.59,27.39,26.19,24.99
13,Girls,100 FR,SCY,72.49,67.29,62.09,59.59,56.99,54.39
13,Girls,200 FR,SCY,157.69,146.49,135.19,129.59,123.89,118.29
13,Girls,500 FR,SCY,420.59,390.59,360.49,345.49,330.49,315.49
13,Girls,1000 FR,SCY,875.79,813.29,750.69,719.39,688.19,656.89
13,Girls,1650 FR,SCY,1456.79,1352.69,1248.69,1196.69,1144.59,1092.59
13,Girls,50 BK,SCY,37.19,34.59,31.89,30.59,29.29,27.89
13,Girls,100 BK,SCY,79.29,73.59,67.99,65.09,62.29,59.49
13,Girls,200 BK,SCY,170.99,158.79,146.59,140.39,134.29,128.19
13,Girls,50 BR,SCY,43.19,40.09,36.99,35.49,33.99,32.39
13,Girls,100 BR,SCY,90.99,84.49,77.99,74.69,71.49,68.19
13,Girls,200 BR,SCY,195.99,181.99,167.99,160.99,153.99,146.99
13,Girls,50 FL,SCY,36.69,34.09,31.49,30.19,28.79,27.49
13,Girls,100 FL,SCY,78.89,73.29,67.59,64.79,61.99,59.19
13,Girls,200 FL,SCY,176.29,163.69,151.09,144.79,138.49,132.19
13,Girls,200 IM,SCY,176.69,164.09,151.39,145.09,138.79,132.49
13,Girls,400 IM,SCY,374.09,347.39,320.69,307.29,293.99,280.59
13,Boys,50 FR,SCY,23.29,24.39,25.59,26.69,28.89,31.09
13,Boys,100 FR,SCY,50.69,53.09,55.49,57.89,62.69,67.59
13,Boys,200 FR,SCY,110.79,116.09,121.39,126.69,137.19,147.79
13,Boys,500 FR,SCY,298.99,313.29,327.49,341.69,370.19,398.69
13,Boys,1000 FR,SCY,618.69,648.19,677.59,707.09,765.99,824.89
13,Boys,1650 FR,SCY,1040.59,1090.19,1139.69,1189.29,1288.39,1387.49
13,Boys,50 BK,SCY,26.59,27.89,29.09,30.39,32.89,35.39
13,Boys,100 BK,SCY,55.79,58.49,61.09,63.79,69.09,74.39
13,Boys,200 BK,SCY,121.59,127.39,133.19,138.99,150.59,162.09
13,Boys,50 BR,SCY,30.39,31.79,33.29,34.69,37.59,40.49
13,Boys,100 BR,SCY,63.29,66.29,69.29,72.29,78.29,84.29
13,Boys,200 BR,SCY,137.19,143.79,150.29,156.79,169.89,182.99
13,Boys,50 FL,SCY,25.99,27.29,28.49,29.69,32.19,34.69
13,Boys,100 FL,SCY,55.29,57.99,60.59,63.19,68.49,73.79
13,Boys,200 FL,SCY,123.99,129.89,135.79,141.69,153.49,165.29
13,Boys,200 IM,SCY,123.49,129.39,135.29,141.19,152.89,164.69
13,Boys,400 IM,SCY,264.59,277.19,289.79,302.39,327.59,352.79
14,Girls,50 FR,SCY,32.69,30.39,27.99,26.89,25.69,24.49
14,Girls,100 FR,SCY,70.99,65.89,60.89,58.29,55.79,53.29
14,Girls,200 FR,SCY,153.79,142.89,131.89,126.39,120.89,115.39
14,Girls,500 FR,SCY,412.29,382.89,353.39,338.69,323.99,309.29
14,Girls,1000 FR,SCY,852.09,791.19,730.39,699.89,669.49,639.09
14,Girls,1650 FR,SCY,1425.29,1323.49,1221.69,1170.79,1119.89,1068.99
14,Girls,50 BK,SCY,36.59,33.99,31.39,29.99,28.69,27.39
