Age,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
12,Boys,200 IM,SCY,2:12.09,2:18.79,2:25.59,2:32.29,2:45.79,2:59.29
12,Boys,400 IM,SCY,4:43.09,4:56.49,5:09.99,5:23.49,5:50.49,6:17.39
13,Girls,50 FR,SCY,33.29,30.89,28.59,27.39,26.19,24.99
13,Girls,100 FR,SCY,1:12.49,1:07.29,1:02.09,59.59,56.99,54.39
13,Girls,200 FR,SCY,2:37.69,2:26.49,2:15.19,2:09.59,2:03.89,1:58.29
13,Girls,500 FR,SCY,7:00.59,6:30.59,6:00.49,5:45.49,5:30.49,5:15.49
13,Girls,1000 FR,SCY,14:35.79,13:33.29,12:30.69,11:59.39,11:28.19,10:56.89
13,Girls,1650 FR,SCY,24:16.79,22:32.69,20:48.69,19:56.69,19:04.59,18:12.59
13,Girls,50 BK,SCY,37.19,34.59,31.89,30.59,29.29,27.89
13,Girls,100 BK,SCY,1:19.29,1:13.59,1:07.99,1:05.09,1:02.29,59.49
13,Girls,200 BK,SCY,2:50.99,2:38.79,2:26.59,2:20.39,2:14.29,2:08.19
13,Girls,50 BR,SCY,43.19,40.09,36.99,35.49,33.99,32.39
13,Girls,100 BR,SCY,1:30.99,1:24.49,1:17.99,1:14.69,1:11.49,1:08.19
13,Girls,200 BR,SCY,3:15.99,3:01.99,2:47.99,2:40.99,2:33.99,2:26.99
13,Girls,50 FL,SCY,36.69,34.09,31.49,30.19,28.79,27.49
13,Girls,100 FL,SCY,1:18.89,1:13.29,1:07.59,1:04.79,1:01.99,59.19
13,Girls,200 FL,SCY,2:56.29,2:43.69,2:31.09,2:24.79,2:18.49,2:12.19
13,Girls,200 IM,SCY,2:56.69,2:44.09,2:31.39,2:25.09,2:18.79,2:12.49
13,Girls,400 IM,SCY,6:14.09,5:47.39,5:20.69,5:07.29,4:53.99,4:40.59
13,Boys,50 FR,SCY,23.29,24.39,25.59,26.69,28.89,31.09
13,Boys,100 FR,SCY,50.69,53.09,55.49,57.89,1:02.69,1:07.59
13,Boys,200 FR,SCY,1:50.79,1:56.09,2:01.39,2:06.69,2:17.19,2:27.79
13,Boys,500 FR,SCY,4:58.99,5:13.29,5:27.49,5:41.69,6:10.19,6:38.69
13,Boys,1000 FR,SCY,10:18.69,10:48.19,11:17.59,11:47.09,12:45.99,13:44.89
13,Boys,1650 FR,SCY,17:20.59,18:10.19,18:59.69,19:49.29,21:28.39,23:07.49
13,Boys,50 BK,SCY,26.59,27.89,29.09,30.39,32.89,35.39
13,Boys,100 BK,SCY,55.79,58.49,1:01.09,1:03.79,1:09.09,1:14.39
13,Boys,200 BK,SCY,2:01.59,2:07.39,2:13.19,2:18.99,2:30.59,2:42.09
13,Boys,50 BR,SCY,30.39,31.79,33.29,34.69,37.59,40.49
13,Boys,100 BR,SCY,1:03.29,1:06.29,1:09.29,1:12.29,1:18.29,1:24.29
13,Boys,200 BR,SCY,2:17.19,2:23.79,2:30.29,2:36.79,2:49.89,3:02.99
13,Boys,50 FL,SCY,25.99,27.29,28.49,29.69,32.19,34.69
13,Boys,100 FL,SCY,55.29,57.99,1:00.59,1:03.19,1:08.49,1:13.79
13,Boys,200 FL,SCY,2:03.99,2:09.89,2:15.79,2:21.69,2:33.49,2:45.29
13,Boys,200 IM,SCY,2:03.49,2:09.39,2:15.29,2:21.19,2:32.89,2:44.69
13,Boys,400 IM,SCY,4:24.59,4:37.19,4:49.79,5:02.39,5:27.59,5:52.79
14,Girls,50 FR,SCY,32.69,30.39,27.99,26.89,25.69,24.49
14,Girls,100 FR,SCY,1:10.99,1:05.89,1:00.89,58.29,55.79,53.29
14,Girls,200 FR,SCY,2:33.79,2:22.89,2:11.89,2:06.39,2:00.89,1:55.39
14,Girls,500 FR,SCY,6:52.29,6:22.89,5:53.39,5:38.69,5:23.99,5:09.29
14,Girls,1000 FR,SCY,14:12.09,13:11.19,12:10.39,11:39.89,11:09.49,10:39.09
14,Girls,1650 FR,SCY,23:45.29,22:03.49,20:21.69,19:30.79,18:39.89,17:48.99
14,Girls,50 BK,SCY,36.59,33.99,31.39,29.99,28.69,27.39
14,Girls,100 BK,SCY,1:17.19,1:11.69,1:06.19,1:03.39,1:00.69,57.89
14,Girls,200 BK,SCY,2:47.89,2:35.89,2:23.89,2:17.89,2:11.89,2:05.99
14,Girls,50 BR,SCY,42.09,39.09,36.09,34.59,33.09,31.59
14,Girls,100 BR,SCY,1:28.69,1:22.39,1:16.09,1:12.89,1:09.69,1:06.59
14,Girls,200 BR,SCY,3:10.99,2:57.39,2:43.79,2:36.89,2:30.09,2:23.29
