standard_type,age_group,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
age_group,13-14,boys,400,im,5,scm,373.19,346.49,319.89,306.49,293.19,279.89
age_group,13-14,boys,200,fr-r,6,scm,138.09,128.19,118.39,113.39,108.49,103.59
age_group,13-14,boys,400,fr-r,6,scm,301.79,280.29,258.69,247.89,237.19,226.39
age_group,13-14,boys,800,fr-r,6,scm,667.79,620.09,572.39,548.59,524.69,500.89
age_group,13-14,boys,200,med-r,7,scm,152.69,141.79,130.89,125.49,119.99,114.59
age_group,13-14,boys,400,med-r,7,scm,330.69,307.09,283.49,271.69,259.89,247.99
age_group,15-16,girls,50,fr,1,scm,35.09,32.59,30.09,28.89,27.59,26.39
age_group,15-16,girls,100,fr,1,scm,75.99,70.49,65.09,62.39,59.69,56.99
age_group,15-16,girls,200,fr,1,scm,164.69,152.89,141.19,135.29,129.39,123.49
age_group,15-16,girls,400,fr,1,scm,350.89,325.79,300.79,288.19,275.69,263.19
age_group,15-16,girls,800,fr,1,scm,728.79,676.79,624.69,598.69,572.69,546.59
age_group,15-16,girls,1500,fr,1,scm,1387.49,1288.39,1189.29,1139.77,1090.19,1040.69
age_group,15-16,girls,100,bk,2,scm,82.59,76.69,70.79,67.79,64.89,61.99
age_group,15-16,girls,200,bk,2,scm,179.29,166.49,153.69,147.29,140.89,134.49
age_group,15-16,girls,100,br,3,scm,94.99,88.19,81.39,77.99,74.59,71.19
age_group,15-16,girls,200,br,3,scm,205.49,190.89,176.19,168.79,161.49,154.19
age_group,15-16,girls,100,fl,4,scm,82.19,76.29,70.39,67.49,64.59,61.59
age_group,15-16,girls,200,fl,4,scm,183.19,170.09,157.09,150.49,143.99,137.39
age_group,15-16,girls,200,im,5,scm,183.59,170.49,157.39,150.79,144.29,137.69
age_group,15-16,girls,400,im,5,scm,392.29,364.29,336.29,322.29,308.19,294.19
age_group,15-16,girls,200,fr-r,6,scm,149.39,138.79,128.09,122.79,117.39,112.09
age_group,15-16,girls,400,fr-r,6,scm,325.89,302.59,279.29,267.69,255.99,244.39
age_group,15-16,girls,800,fr-r,6,scm,715.79,664.69,613.59,587.99,562.49,536.89
age_group,15-16,girls,200,med-r,7,scm,163.59,151.99,140.29,134.39,128.59,122.69
age_group,15-16,girls,400,med-r,7,scm,357.19,331.69,306.19,293.39,280.69,267.89
age_group,15-16,boys,50,fr,1,scm,31.19,28.99,26.79,25.69,24.59,23.39
age_group,15-16,boys,100,fr,1,scm,68.49,63.69,58.79,56.29,53.89,51.39
age_group,15-16,boys,200,fr,1,scm,150.29,139.59,128.89,123.49,118.09,112.79
age_group,15-16,boys,400,fr,1,scm,322.39,299.39,276.29,264.79,253.29,241.79
age_group,15-16,boys,800,fr,1,scm,675.29,627.09,578.89,554.79,530.59,506.49
age_group,15-16,boys,1500,fr,1,scm,1278.89,1187.59,1096.19,1050.49,1004.89,959.19
age_group,15-16,boys,100,bk,2,scm,74.59,69.29,63.99,61.29,58.59,55.99
age_group,15-16,boys,200,bk,2,scm,163.09,151.49,139.79,133.99,128.19,122.39
age_group,15-16,boys,100,br,3,scm,84.99,78.89,72.79,69.79,66.79,63.69
age_group,15-16,boys,200,br,3,scm,184.59,171.39,158.29,151.69,145.09,138.49
age_group,15-16,boys,100,fl,4,scm,74.29,68.99,63.69,60.99,58.39,55.69
age_group,15-16,boys,200,fl,4,scm,165.99,154.19,142.29,136.39,130.39,124.49
age_group,15-16,boys,200,im,5,scm,166.79,154.89,142.99,136.99,131.09,125.09
age_group,15-16,boys,400,im,5,scm,355.99,330.59,305.19,292.39,279.69,266.99
age_group,15-16,boys,200,fr-r,6,scm,134.59,124.99,115.39,110.59,105.79,100.99
age_group,15-16,boys,400,fr-r,6,scm,297.09,275.79,254.59,243.99,233.39,222.79
age_group,15-16,boys,800,fr-r,6,scm,659.69,612.59,565.49,541.89,518.39,494.79
age_group,15-16,boys,200,med-r,7,scm,148.29,137.69,127.09,121.79,116.49,111.19
age_group,15-16,boys,400,med-r,7,scm,325.09,301.89,278.69,267.09,255.39,243.79
age_group,17-18,girls,50,fr,1,scm,34.69,32.19,29.69,28.49,27.19,25.99
age_group,17-18,girls,100,fr,1,scm,75.19,69.89,64.49,61.79,59.09,56.39
age_group,17-18,girls,200,fr,1,scm,162.69,151.09,139.39,133.59,127.79,121.99
age_group,17-18,girls,400,fr,1,scm,346.89,322.19,297.39,284.99,272.59,260.19
age_group,17-18,girls,800,fr,1,scm,722.79,671.19,619.59,593.69,567.89,542.09
age_group,17-18,girls,1500,fr,1,scm,1358.99,1261.99,1164.89,1116.39,1067.79,1019.29
age_group,17-18,girls,100,bk,2,scm,81.09,75.29,69.49,66.59,63.69,60.79
age_group,17-18,girls,200,bk,2,scm,175.39,162.89,150.39,144.09,137.79,131.59
age_group,17-18,girls,100,br,3,scm,93.69,87.09,80.39,76.99,73.69,70.29
age_group,17-18,girls,200,br,3,scm,204.09,189.49,174.89,167.59,160.39,153.09
age_group,17-18,girls,100,fl,4,scm,81.29,75.49,69.69,66.79,63.89,60.99
age_group,17-18,girls,200,fl,4,scm,179.89,166.99,154.19,147.69,141.29,134.89
age_group,17-18,girls,200,im,5,scm,180.69,167.79,154.89,148.49,141.99,135.59
age_group,17-18,girls,400,im,5,scm,387.49,359.79,332.09,318.29,304.49,290.59
age_group,17-18,girls,200,fr-r,6,scm,148.79,138.19,127.59,122.29,116.89,111.59
age_group,17-18,girls,400,fr-r,6,scm,319.89,297.09,274.19,262.79,251.39,239.89
age_group,17-18,girls,800,fr-r,6,scm,698.69,648.79,598.89,573.99,548.99,523.99
age_group,17-18,girls,200,med-r,7,scm,162.29,150.69,139.09,133.29,127.49,121.69
age_group,17-18,girls,400,med-r,7,scm,353.89,328.59,303.39,290.69,278.09,265.39
age_group,17-18,boys,50,fr,1,scm,30.39,28.29,26.19,24.99,23.89,22.79
age_group,17-18,boys,100,fr,1,scm,66.69,61.89,57.19,54.79,52.39,49.99
age_group,17-18,boys,200,fr,1,scm,147.59,137.09,126.49,121.29,115.99,110.69
age_group,17-18,boys,400,fr,1,scm,317.79,295.09,272.39,261.09,249.69,238.39
age_group,17-18,boys,800,fr,1,scm,665.19,617.69,570.19,546.39,522.69,498.89
age_group,17-18,boys,1500,fr,1,scm,1261.39,1171.29,1081.19,1036.19,991.09,946.09
age_group,17-18,boys,100,bk,2,scm,72.09,66.89,61.79,59.19,56.59,54.09
age_group,17-18,boys,200,bk,2,scm,158.99,147.59,136.29,130.59,124.89,119.29
age_group,17-18,boys,100,br,3,scm,82.49,76.59,70.69,67.79,64.89,61.89
age_group,17-18,boys,200,br,3,scm,179.29,166.49,153.69,147.29,140.89,134.49
age_group,17-18,boys,100,fl,4,scm,72.29,67.09,61.99,59.39,56.79,54.19
age_group,17-18,boys,200,fl,4,scm,161.79,150.19,138.69,132.89,127.09,121.39
age_group,17-18,boys,200,im,5,scm,162.89,151.29,139.59,133.79,127.99,122.19
age_group,17-18,boys,400,im,5,scm,350.69,325.59,300.59,288.09,275.49,262.99
age_group,17-18,boys,200,fr-r,6,scm,127.69,118.59,109.49,104.89,100.29,95.79
age_group,17-18,boys,400,fr-r,6,scm,280.39,260.39,240.39,230.39,220.39,210.29
age_group,17-18,boys,800,fr-r,6,scm,623.09,578.59,534.09,511.89,489.59,467.39
age_group,17-18,boys,200,med-r,7,scm,139.49,129.49,119.59,114.59,109.59,104.59
age_group,17-18,boys,400,med-r,7,scm,305.89,284.09,262.19,251.29,240.39,229.39
age_group,10 & under,girls,50,fr,1,lcm,45.29,40.89,36.59,35.09,33.69,32.19
age_group,10 & under,girls,100,fr,1,lcm,104.09,92.99,81.89,78.19,74.49,70.79
age_group,10 & under,girls,200,fr,1,lcm,230.99,205.69,180.39,171.99,163.49,155.09
age_group,10 & under,girls,400,fr,1,lcm,468.59,421.69,374.89,359.29,343.69,327.99
age_group,10 & under,girls,50,bk,2,lcm,55.79,49.69,43.59,41.59,39.49,37.49
age_group,10 & under,girls,100,bk,2,lcm,121.59,108.09,94.59,90.09,85.59,81.09
age_group,10 & under,girls,50,br,3,lcm,62.19,55.49,48.79,46.49,44.29,42.09
age_group,10 & under,girls,100,br,3,lcm,139.39,123.89,108.39,103.29,98.09,92.99
age_group,10 & under,girls,50,fl,4,lcm,54.49,48.09,41.59,39.49,37.29,35.19
age_group,10 & under,girls,100,fl,4,lcm,132.79,115.39,97.99,92.19,86.39,80.59
age_group,10 & under,girls,200,im,5,lcm,255.69,228.89,202.09,193.09,184.19,175.29
age_group,10 & under,girls,200,fr-r,6,lcm,197.49,177.79,157.99,151.39,144.79,138.29
age_group,10 & under,girls,200,med-r,7,lcm,223.59,201.19,178.89,171.39,163.99,156.49
age_group,10 & under,boys,50,fr,1,lcm,43.89,39.79,35.69,34.29,32.99,31.59
age_group,10 & under,boys,100,fr,1,lcm,100.99,90.59,80.19,76.69,73.19,69.79
age_group,10 & under,boys,200,fr,1,lcm,216.69,194.99,173.39,166.09,158.89,151.69
age_group,10 & under,boys,400,fr,1,lcm,458.29,412.49,366.59,351.39,336.09,320.79
age_group,10 & under,boys,50,bk,2,lcm,55.39,49.29,43.09,41.09,38.99,36.99
age_group,10 & under,boys,100,bk,2,lcm,116.69,104.49,92.29,88.19,84.09,79.99
age_group,10 & under,boys,50,br,3,lcm,60.89,54.39,47.89,45.79,43.59,41.49
age_group,10 & under,boys,100,br,3,lcm,132.89,119.19,105.49,100.89,96.29,91.69
age_group,10 & under,boys,50,fl,4,lcm,52.29,46.39,40.59,38.59,36.59,34.69
age_group,10 & under,boys,100,fl,4,lcm,129.49,112.89,96.19,90.69,85.09,79.59
age_group,10 & under,boys,200,im,5,lcm,249.49,223.69,197.89,189.39,180.79,172.19
age_group,10 & under,boys,200,fr-r,6,lcm,195.89,176.39,156.79,150.19,143.69,137.19
age_group,10 & under,boys,200,med-r,7,lcm,225.09,202.59,180.09,172.59,165.09,157.59
age_group,11-12,girls,50,fr,1,lcm,38.49,35.89,33.19,31.89,30.49,29.19
age_group,11-12,girls,100,fr,1,lcm,85.59,79.49,73.39,70.29,67.19,64.19
age_group,11-12,girls,200,fr,1,lcm,186.39,173.09,159.79,153.09,146.49,139.79
age_group,11-12,girls,400,fr,1,lcm,392.89,364.79,336.79,322.79,308.69,294.69
age_group,11-12,girls,800,fr,1,lcm,821.59,762.89,704.19,674.89,645.49,616.19
age_group,11-12,girls,1500,fr,1,lcm,1566.89,1454.99,1342.99,1287.09,1231.09,1175.19
age_group,11-12,girls,50,bk,2,lcm,44.79,41.59,38.39,36.79,35.19,33.59
age_group,11-12,girls,100,bk,2,lcm,100.59,92.69,84.79,80.79,76.89,72.89
age_group,11-12,girls,200,bk,2,lcm,208.09,193.29,178.39,170.99,163.49,156.09
age_group,11-12,girls,50,br,3,lcm,49.79,46.19,42.69,40.89,39.09,37.39
age_group,11-12,girls,100,br,3,lcm,110.39,102.19,93.99,89.99,85.89,81.79
age_group,11-12,girls,200,br,3,lcm,236.79,219.89,202.99,194.49,186.09,177.59
age_group,11-12,girls,50,fl,4,lcm,41.79,38.79,35.79,34.29,32.89,31.39
age_group,11-12,girls,100,fl,4,lcm,98.29,90.49,82.59,78.69,74.79,70.79
age_group,11-12,girls,200,fl,4,lcm,211.09,195.99,180.89,173.39,165.89,158.29
age_group,11-12,girls,200,im,5,lcm,210.59,195.59,180.59,172.99,165.49,157.99
age_group,11-12,girls,400,im,5,lcm,448.89,416.79,384.79,368.69,352.69,336.69
age_group,11-12,girls,200,fr-r,6,lcm,164.29,152.59,140.89,134.99,129.09,123.29
age_group,11-12,girls,400,fr-r,6,lcm,363.69,337.69,311.79,298.79,285.79,272.79
age_group,11-12,girls,200,med-r,7,lcm,184.19,170.99,157.89,151.29,144.69,138.19
age_group,11-12,girls,400,med-r,7,lcm,408.79,379.59,350.39,335.79,321.19,306.59
age_group,11-12,boys,50,fr,1,lcm,37.39,34.79,32.09,30.69,29.39,28.09
age_group,11-12,boys,100,fr,1,lcm,82.09,76.19,70.39,67.49,64.49,61.59
age_group,11-12,boys,200,fr,1,lcm,179.19,166.39,153.59,147.19,140.79,134.39
age_group,11-12,boys,400,fr,1,lcm,381.09,353.89,326.69,313.09,299.49,285.89
age_group,11-12,boys,800,fr,1,lcm,800.19,742.99,685.89,657.29,628.69,600.09
age_group,11-12,boys,1500,fr,1,lcm,1551.79,1440.99,1330.19,1274.69,1219.29,1163.89
age_group,11-12,boys,50,bk,2,lcm,44.49,41.09,37.69,35.99,34.29,32.59
age_group,11-12,boys,100,bk,2,lcm,97.19,89.59,81.89,78.09,74.29,70.39
age_group,11-12,boys,200,bk,2,lcm,202.99,188.49,173.99,166.69,159.49,152.19
age_group,11-12,boys,50,br,3,lcm,49.79,45.89,41.99,39.99,38.09,36.09
age_group,11-12,boys,100,br,3,lcm,107.79,99.59,91.29,87.19,83.09,78.99
age_group,11-12,boys,200,br,3,lcm,227.89,211.59,195.39,187.19,179.09,170.99
age_group,11-12,boys,50,fl,4,lcm,41.99,38.69,35.29,33.59,31.99,30.29
age_group,11-12,boys,100,fl,4,lcm,95.09,87.29,79.49,75.59,71.69,67.79
age_group,11-12,boys,200,fl,4,lcm,204.79,190.19,175.59,168.29,160.89,153.59
age_group,11-12,boys,200,im,5,lcm,204.39,188.99,173.69,165.99,158.29,150.59
age_group,11-12,boys,400,im,5,lcm,437.89,406.59,375.39,359.69,344.09,328.39
age_group,11-12,boys,200,fr-r,6,lcm,160.19,148.79,137.39,131.59,125.89,120.19
age_group,11-12,boys,400,fr-r,6,lcm,355.69,330.29,304.89,292.19,279.49,266.79
age_group,11-12,boys,200,med-r,7,lcm,179.79,166.89,154.09,147.69,141.29,134.79
age_group,11-12,boys,400,med-r,7,lcm,399.59,370.99,342.49,328.19,313.99,299.69
age_group,13-14,girls,50,fr,1,lcm,37.19,34.59,31.89,30.59,29.29,27.89
age_group,13-14,girls,100,fr,1,lcm,81.19,75.39,69.59,66.69,63.79,60.89
age_group,13-14,girls,200,fr,1,lcm,175.29,162.79,150.29,143.99,137.79,131.49
age_group,13-14,girls,400,fr,1,lcm,368.09,341.79,315.49,302.39,289.19,276.09
age_group,13-14,girls,800,fr,1,lcm,765.49,710.79,656.09,628.79,601.49,574.09
age_group,13-14,girls,1500,fr,1,lcm,1468.39,1363.49,1258.59,1206.19,1153.69,1101.29
age_group,13-14,girls,50,bk,2,lcm,42.59,39.49,36.49,34.99,33.49,31.89
age_group,13-14,girls,100,bk,2,lcm,89.69,83.29,76.89,73.69,70.49,67.29
age_group,13-14,girls,200,bk,2,lcm,193.29,179.49,165.69,158.79,151.89,144.99
age_group,13-14,girls,50,br,3,lcm,47.79,44.39,40.99,39.29,37.59,35.89
age_group,13-14,girls,100,br,3,lcm,102.39,94.99,87.69,84.09,80.39,76.79
age_group,13-14,girls,200,br,3,lcm,220.29,204.59,188.89,180.99,173.09,165.29
age_group,13-14,girls,50,fl,4,lcm,39.99,37.09,34.29,32.79,31.39,29.99
age_group,13-14,girls,100,fl,4,lcm,87.19,80.99,74.79,71.69,68.59,65.39
age_group,13-14,girls,200,fl,4,lcm,195.69,181.69,167.79,160.79,153.79,146.79
age_group,13-14,girls,200,im,5,lcm,197.19,183.09,168.99,161.99,154.89,147.89
age_group,13-14,girls,400,im,5,lcm,417.99,388.19,358.29,343.39,328.39,313.49
age_group,13-14,girls,200,fr-r,6,lcm,155.59,144.39,133.29,127.79,122.19,116.69
age_group,13-14,girls,400,fr-r,6,lcm,340.89,316.49,292.19,279.99,267.79,255.69
age_group,13-14,girls,800,fr-r,6,lcm,748.29,694.79,641.39,614.59,587.89,561.19
age_group,13-14,girls,200,med-r,7,lcm,173.29,160.89,148.49,142.39,136.19,129.99
age_group,13-14,girls,400,med-r,7,lcm,378.39,351.39,324.29,310.79,297.29,283.79
age_group,13-14,boys,50,fr,1,lcm,34.29,31.79,29.39,28.19,26.89,25.69
age_group,13-14,boys,100,fr,1,lcm,75.09,69.79,64.39,61.69,58.99,56.39
age_group,13-14,boys,200,fr,1,lcm,163.99,152.29,140.59,134.69,128.89,122.99
age_group,13-14,boys,400,fr,1,lcm,348.39,323.49,298.69,286.19,273.79,261.29
age_group,13-14,boys,800,fr,1,lcm,720.59,669.19,617.69,591.99,566.19,540.49
age_group,13-14,boys,1500,fr,1,lcm,1384.59,1285.69,1186.79,1137.39,1087.89,1038.49
age_group,13-14,boys,50,bk,2,lcm,39.49,36.69,33.89,32.49,31.09,29.69
age_group,13-14,boys,100,bk,2,lcm,83.69,77.69,71.69,68.69,65.79,62.79
age_group,13-14,boys,200,bk,2,lcm,181.79,168.79,155.79,149.29,142.79,136.29
age_group,13-14,boys,50,br,3,lcm,43.99,40.89,37.69,36.19,34.59,32.99
age_group,13-14,boys,100,br,3,lcm,93.79,87.09,80.39,76.99,73.69,70.29
age_group,13-14,boys,200,br,3,lcm,202.79,188.29,173.79,166.59,159.39,152.09
age_group,13-14,boys,50,fl,4,lcm,37.29,34.59,31.89,30.59,29.29,27.99
age_group,13-14,boys,100,fl,4,lcm,80.29,74.59,68.89,65.99,63.09,60.29
age_group,13-14,boys,200,fl,4,lcm,179.69,166.79,153.99,147.59,141.19,134.79
age_group,13-14,boys,200,im,5,lcm,182.89,169.79,156.69,150.19,143.69,137.19
age_group,13-14,boys,400,im,5,lcm,390.69,362.79,334.89,320.89,306.99,292.99
age_group,13-14,boys,200,fr-r,6,lcm,143.59,133.29,123.09,117.89,112.79,107.69
age_group,13-14,boys,400,fr-r,6,lcm,315.29,292.79,270.19,258.99,247.69,236.49
age_group,13-14,boys,800,fr-r,6,lcm,697.29,647.49,597.69,572.79,547.89,522.99
age_group,13-14,boys,200,med-r,7,lcm,158.99,147.59,136.29,130.59,124.89,119.19
age_group,13-14,boys,400,med-r,7,lcm,349.09,324.09,299.19,286.79,274.29,261.79
age_group,15-16,girls,50,fr,1,lcm,36.09,33.49,30.89,29.59,28.29,27.09
age_group,15-16,girls,100,fr,1,lcm,78.39,72.79,67.19,64.39,61.59,58.79
age_group,15-16,girls,200,fr,1,lcm,169.19,157.09,145.09,138.99,132.99,126.89
age_group,15-16,girls,400,fr,1,lcm,355.19,329.89,304.49,291.79,279.09,266.39
age_group,15-16,girls,800,fr,1,lcm,737.79,685.09,632.39,605.99,579.69,553.29
age_group,15-16,girls,1500,fr,1,lcm,1413.49,1312.49,1211.59,1161.09,1110.59,1060.09
age_group,15-16,girls,100,bk,2,lcm,86.89,80.69,74.49,71.39,68.29,65.19
age_group,15-16,girls,200,bk,2,lcm,186.79,173.39,160.09,153.39,146.79,140.09
age_group,15-16,girls,100,br,3,lcm,98.59,91.59,84.49,80.99,77.49,73.99
age_group,15-16,girls,200,br,3,lcm,212.49,197.29,182.09,174.49,166.99,159.39
age_group,15-16,girls,100,fl,4,lcm,84.29,78.29,72.29,69.29,66.29,63.29
age_group,15-16,girls,200,fl,4,lcm,187.79,174.39,160.99,154.29,147.59,140.89
age_group,15-16,girls,200,im,5,lcm,191.19,177.49,163.89,156.99,150.19,143.39
age_group,15-16,girls,400,im,5,lcm,404.69,375.79,346.89,332.49,317.99,303.59
age_group,15-16,girls,200,fr-r,6,lcm,156.49,145.39,134.19,128.59,122.99,117.39
age_group,15-16,girls,400,fr-r,6,lcm,341.09,316.79,292.39,280.19,267.99,255.89
age_group,15-16,girls,800,fr-r,6,lcm,745.39,692.19,638.89,612.29,585.69,559.09
age_group,15-16,girls,200,med-r,7,lcm,173.99,161.49,149.09,142.89,136.69,130.49
age_group,15-16,girls,400,med-r,7,lcm,374.39,347.69,320.89,307.59,294.19,280.79
age_group,15-16,boys,50,fr,1,lcm,32.89,30.59,28.19,26.99,25.89,24.69
age_group,15-16,boys,100,fr,1,lcm,71.79,66.69,61.49,58.99,56.39,53.79
age_group,15-16,boys,200,fr,1,lcm,156.59,145.39,134.29,128.69,123.09,117.49
age_group,15-16,boys,400,fr,1,lcm,334.09,310.19,286.39,274.39,262.49,250.59
age_group,15-16,boys,800,fr,1,lcm,693.99,644.39,594.79,569.99,545.29,520.49
age_group,15-16,boys,1500,fr,1,lcm,1328.29,1233.39,1138.49,1091.09,1043.59,996.19
age_group,15-16,boys,100,bk,2,lcm,79.39,73.69,67.99,65.19,62.39,59.49
age_group,15-16,boys,200,bk,2,lcm,172.29,159.99,147.69,141.49,135.39,129.19
age_group,15-16,boys,100,br,3,lcm,89.49,83.09,76.69,73.49,70.29,67.09
age_group,15-16,boys,200,br,3,lcm,194.49,180.59,166.69,159.79,152.79,145.89
age_group,15-16,boys,100,fl,4,lcm,76.79,71.29,65.79,63.09,60.29,57.59
age_group,15-16,boys,200,fl,4,lcm,171.69,159.49,147.19,141.09,134.89,128.79
age_group,15-16,boys,200,im,5,lcm,176.19,163.59,150.99,144.69,138.39,132.09
age_group,15-16,boys,400,im,5,lcm,374.69,347.99,321.19,307.79,294.39,281.09
age_group,15-16,boys,200,fr-r,6,lcm,139.89,129.89,119.89,114.89,109.89,104.89
age_group,15-16,boys,400,fr-r,6,lcm,306.49,284.69,262.79,251.79,240.89,229.89
age_group,15-16,boys,800,fr-r,6,lcm,683.49,634.69,585.79,561.39,536.99,512.59
age_group,15-16,boys,200,med-r,7,lcm,155.09,143.99,132.89,127.39,121.89,116.29
age_group,15-16,boys,400,med-r,7,lcm,341.19,316.79,292.39,280.19,268.09,255.89
age_group,17-18,girls,50,fr,1,lcm,35.89,33.29,30.69,29.49,28.19,26.89
age_group,17-18,girls,100,fr,1,lcm,77.69,72.19,66.59,63.89,61.09,58.29
age_group,17-18,girls,200,fr,1,lcm,167.69,155.69,143.69,137.69,131.69,125.79
age_group,17-18,girls,400,fr,1,lcm,353.39,328.19,302.99,290.29,277.69,265.09
age_group,17-18,girls,800,fr,1,lcm,730.29,678.19,625.99,599.89,573.79,547.79
age_group,17-18,girls,1500,fr,1,lcm,1400.89,1300.79,1200.79,1150.79,1100.69,1050.69
age_group,17-18,girls,100,bk,2,lcm,85.89,79.79,73.69,70.59,67.49,64.49
age_group,17-18,girls,200,bk,2,lcm,185.79,172.49,159.19,152.59,145.99,139.29
age_group,17-18,girls,100,br,3,lcm,97.49,90.49,83.59,80.09,76.59,73.09
age_group,17-18,girls,200,br,3,lcm,209.89,194.99,179.99,172.49,164.99,157.49
age_group,17-18,girls,100,fl,4,lcm,83.59,77.69,71.69,68.69,65.69,62.69
age_group,17-18,girls,200,fl,4,lcm,184.49,171.39,158.19,151.59,144.99,138.39
age_group,17-18,girls,200,im,5,lcm,189.29,175.79,162.29,155.49,148.79,141.99
age_group,17-18,girls,400,im,5,lcm,400.29,371.69,343.09,328.79,314.49,300.29
age_group,17-18,girls,200,fr-r,6,lcm,154.19,143.19,132.19,126.69,121.19,115.59
age_group,17-18,girls,400,fr-r,6,lcm,334.19,310.29,286.39,274.49,262.59,250.59
age_group,17-18,girls,800,fr-r,6,lcm,735.79,683.29,630.69,604.39,578.19,551.89
age_group,17-18,girls,200,med-r,7,lcm,171.39,159.09,146.89,140.79,134.69,128.49
age_group,17-18,girls,400,med-r,7,lcm,370.89,344.39,317.89,304.69,291.39,278.19
age_group,17-18,boys,50,fr,1,lcm,31.89,29.59,27.39,26.19,25.09,23.99
age_group,17-18,boys,100,fr,1,lcm,69.89,64.89,59.89,57.39,54.89,52.39
age_group,17-18,boys,200,fr,1,lcm,152.89,141.99,131.09,125.59,120.09,114.69
age_group,17-18,boys,400,fr,1,lcm,326.49,303.09,279.79,268.19,256.49,244.89
age_group,17-18,boys,800,fr,1,lcm,677.89,629.49,581.09,556.89,532.69,508.49
age_group,17-18,boys,1500,fr,1,lcm,1305.79,1212.49,1119.29,1072.59,1025.99,979.39
age_group,17-18,boys,100,bk,2,lcm,77.49,71.99,66.49,63.69,60.89,58.19
age_group,17-18,boys,200,bk,2,lcm,169.19,157.09,144.99,138.99,132.89,126.89
age_group,17-18,boys,100,br,3,lcm,86.69,80.59,74.39,71.29,68.19,65.09
age_group,17-18,boys,200,br,3,lcm,189.19,175.69,162.19,155.39,148.59,141.89
age_group,17-18,boys,100,fl,4,lcm,74.59,69.29,63.99,61.29,58.69,55.99
age_group,17-18,boys,200,fl,4,lcm,166.99,155.09,143.19,137.19,131.29,125.29
age_group,17-18,boys,200,im,5,lcm,171.89,159.59,147.39,141.19,135.09,128.99
age_group,17-18,boys,400,im,5,lcm,367.59,341.29,315.09,301.89,288.79,275.69
age_group,17-18,boys,200,fr-r,6,lcm,134.59,124.99,115.39,110.59,105.79,100.99
age_group,17-18,boys,400,fr-r,6,lcm,293.99,272.99,251.99,241.49,230.99,220.49
age_group,17-18,boys,800,fr-r,6,lcm,654.49,607.69,560.99,537.59,514.19,490.89
age_group,17-18,boys,200,med-r,7,lcm,148.49,137.89,127.29,121.99,116.69,111.39
age_group,17-18,boys,400,med-r,7,lcm,323.89,300.79,277.59,266.09,254.49,242.89
