standard_type,age_group,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
age_group,11-12,boys,400,fr-r,6,scy,306.79,284.79,262.89,251.99,240.99,230.09
age_group,11-12,boys,200,med-r,7,scy,154.09,143.09,132.09,126.59,121.09,115.59
age_group,11-12,boys,400,med-r,7,scy,339.79,315.49,291.19,279.09,266.99,254.79
age_group,13-14,girls,50,fr,1,scy,32.49,30.19,27.89,26.69,25.59,24.39
age_group,13-14,girls,100,fr,1,scy,70.99,65.89,60.89,58.29,55.79,53.29
age_group,13-14,girls,200,fr,1,scy,153.59,142.69,131.69,126.19,120.69,115.29
age_group,13-14,girls,500,fr,1,scy,412.19,382.79,353.39,338.59,323.89,309.19
age_group,13-14,girls,1000,fr,1,scy,851.09,790.29,729.49,699.09,668.69,638.29
age_group,13-14,girls,1650,fr,1,scy,1422.89,1321.19,1219.59,1168.79,1117.99,1067.19
age_group,13-14,girls,50,bk,2,scy,36.19,33.69,31.09,29.79,28.49,27.19
age_group,13-14,girls,100,bk,2,scy,76.89,71.39,65.89,63.19,60.49,57.69
age_group,13-14,girls,200,bk,2,scy,166.39,154.49,142.59,136.69,130.69,124.79
age_group,13-14,girls,50,br,3,scy,42.09,39.09,36.09,34.59,33.09,31.59
age_group,13-14,girls,100,br,3,scy,88.69,82.29,75.99,72.89,69.69,66.49
age_group,13-14,girls,200,br,3,scy,190.99,177.39,163.79,156.89,150.09,143.29
age_group,13-14,girls,50,fl,4,scy,35.79,33.29,30.69,29.39,28.19,26.89
age_group,13-14,girls,100,fl,4,scy,76.79,71.29,65.89,63.09,60.39,57.59
age_group,13-14,girls,200,fl,4,scy,171.19,158.99,146.69,140.59,134.49,128.39
age_group,13-14,girls,200,im,5,scy,171.79,159.49,147.19,141.09,134.99,128.79
age_group,13-14,girls,400,im,5,scy,365.79,339.69,313.49,300.49,287.39,274.29
age_group,13-14,girls,200,fr-r,6,scy,136.29,126.59,116.89,111.99,107.09,102.29
age_group,13-14,girls,400,fr-r,6,scy,297.29,275.99,254.79,244.19,233.59,222.99
age_group,13-14,girls,800,fr-r,6,scy,649.19,602.79,556.39,533.29,510.09,486.89
age_group,13-14,girls,200,med-r,7,scy,149.89,139.19,128.49,123.09,117.79,112.39
age_group,13-14,girls,400,med-r,7,scy,326.89,303.59,280.19,268.59,256.89,245.19
