Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
13-14,Girls,100 BK,LCM,89.69,83.29,76.89,73.69,70.49,67.29
13-14,Girls,200 BK,LCM,193.29,179.49,165.69,158.79,151.89,144.99
13-14,Girls,50 BR,LCM,47.79,44.39,40.99,39.29,37.59,35.89
13-14,Girls,100 BR,LCM,102.39,94.99,87.69,84.09,80.39,76.79
13-14,Girls,200 BR,LCM,220.29,204.59,188.89,180.99,173.09,165.29
13-14,Girls,50 FL,LCM,39.99,37.09,34.29,32.79,31.39,29.99
13-14,Girls,100 FL,LCM,87.19,80.99,74.79,71.69,68.59,65.39
13-14,Girls,200 FL,LCM,195.69,181.69,167.79,160.79,153.79,146.79
13-14,Girls,200 IM,LCM,197.19,183.09,168.99,161.99,154.89,147.89
13-14,Girls,400 IM,LCM,417.99,388.19,358.29,343.39,328.39,313.49
13-14,Girls,200 FR-R,LCM,155.59,144.39,133.29,127.79,122.19,116.69
13-14,Girls,400 FR-R,LCM,340.89,316.49,292.19,279.99,267.79,255.69
13-14,Girls,800 FR-R,LCM,748.29,694.79,641.39,614.59,587.89,561.19
13-14,Girls,200 MED-R,LCM,173.29,160.89,148.49,142.39,136.19,129.99
13-14,Girls,400 MED-R,LCM,378.39,351.39,324.29,310.79,297.29,283.79
13-14,Boys,50 FR,LCM,25.69,26.89,28.19,29.39,31.79,34.29
13-14,Boys,100 FR,LCM,56.39,58.99,61.69,64.39,69.79,75.09
13-14,Boys,200 FR,LCM,122.99,128.89,134.69,140.59,152.29,163.99
13-14,Boys,400 FR,LCM,261.29,273.79,286.19,298.69,323.49,348.39
13-14,Boys,800 FR,LCM,540.49,566.19,591.99,617.69,669.19,720.59
13-14,Boys,1500 FR,LCM,1038.49,1087.89,1137.39,1186.79,1285.69,1384.59
13-14,Boys,50 BK,LCM,29.69,31.09,32.49,33.89,36.69,39.49
13-14,Boys,100 BK,LCM,62.79,65.79,68.69,71.69,77.69,83.69
13-14,Boys,200 BK,LCM,136.29,142.79,149.29,155.79,168.79,181.79
13-14,Boys,50 BR,LCM,32.99,34.59,36.19,37.69,40.89,43.99
13-14,Boys,100 BR,LCM,70.29,73.69,76.99,80.39,87.09,93.79
13-14,Boys,200 BR,LCM,152.09,159.39,166.59,173.79,188.29,202.79
13-14,Boys,50 FL,LCM,27.99,29.29,30.59,31.89,34.59,37.29
13-14,Boys,100 FL,LCM,60.29,63.09,65.99,68.89,74.59,80.29
13-14,Boys,200 FL,LCM,134.79,141.19,147.59,153.99,166.79,179.69
13-14,Boys,200 IM,LCM,137.19,143.69,150.19,156.69,169.79,182.89
13-14,Boys,400 IM,LCM,292.99,306.99,320.89,334.89,362.79,390.69
13-14,Boys,200 FR-R,LCM,107.69,112.79,117.89,123.09,133.29,143.59
13-14,Boys,400 FR-R,LCM,236.49,247.69,258.99,270.19,292.79,315.29
13-14,Boys,800 FR-R,LCM,522.99,547.89,572.79,597.69,647.49,697.29
13-14,Boys,200 MED-R,LCM,119.19,124.89,130.59,136.29,147.59,158.99
13-14,Boys,400 MED-R,LCM,261.79,274.29,286.79,299.19,324.09,349.09
15-16,Girls,50 FR,LCM,36.09,33.49,30.89,29.59,28.29,27.09
15-16,Girls,100 FR,LCM,78.39,72.79,67.19,64.39,61.59,58.79
15-16,Girls,200 FR,LCM,169.19,157.09,145.09,138.99,132.99,126.89
15-16,Girls,400 FR,LCM,355.19,329.89,304.49,291.79,279.09,266.39
15-16,Girls,800 FR,LCM,737.79,685.09,632.39,605.99,579.69,553.29
15-16,Girls,1500 FR,LCM,1413.49,1312.49,1211.59,1161.09,1110.59,1060.09
15-16,Girls,100 BK,LCM,86.89,80.69,74.49,71.39,68.29,65.19
15-16,Girls,200 BK,LCM,186.79,173.39,160.09,153.39,146.79,140.09
15-16,Girls,100 BR,LCM,98.59,91.59,84.49,80.99,77.49,73.99
15-16,Girls,200 BR,LCM,212.49,197.29,182.09,174.49,166.99,159.39
15-16,Girls,100 FL,LCM,84.29,78.29,72.29,69.29,66.29,63.29
15-16,Girls,200 FL,LCM,187.79,174.39,160.99,154.29,147.59,140.89
15-16,Girls,200 IM,LCM,191.19,177.49,163.89,156.99,150.19,143.39
15-16,Girls,400 IM,LCM,404.69,375.79,346.89,332.49,317.99,303.59
15-16,Girls,200 FR-R,LCM,156.49,145.39,134.19,128.59,122.99,117.39
15-16,Girls,400 FR-R,LCM,341.09,316.79,292.39,280.19,267.99,255.89
15-16,Girls,800 FR-R,LCM,745.39,692.19,638.89,612.29,585.69,559.09
15-16,Girls,200 MED-R,LCM,173.99,161.49,149.09,142.89,136.69,130.49
15-16,Girls,400 MED-R,LCM,374.39,347.69,320.89,307.59,294.19,280.79
15-16,Boys,50 FR,LCM,24.69,25.89,26.99,28.19,30.59,32.89
15-16,Boys,100 FR,LCM,53.79,56.39,58.99,61.49,66.69,71.79
15-16,Boys,200 FR,LCM,117.49,123.09,128.69,134.29,145.39,156.59
15-16,Boys,400 FR,LCM,250.59,262.49,274.39,286.39,310.19,334.09
15-16,Boys,800 FR,LCM,520.49,545.29,569.99,594.79,644.39,693.99
15-16,Boys,1500 FR,LCM,996.19,1043.59,1091.09,1138.49,1233.39,1328.29
15-16,Boys,100 BK,LCM,59.49,62.39,65.19,67.99,73.69,79.39
15-16,Boys,200 BK,LCM,129.19,135.39,141.49,147.69,159.99,172.29
15-16,Boys,100 BR,LCM,67.09,70.29,73.49,76.69,83.09,89.49
15-16,Boys,200 BR,LCM,145.89,152.79,159.79,166.69,180.59,194.49
15-16,Boys,100 FL,LCM,57.59,60.29,63.09,65.79,71.29,76.79
15-16,Boys,200 FL,LCM,128.79,134.89,141.09,147.19,159.49,171.69
15-16,Boys,200 IM,LCM,132.09,138.39,144.69,150.99,163.59,176.19
15-16,Boys,400 IM,LCM,281.09,294.39,307.79,321.19,347.99,374.69
15-16,Boys,200 FR-R,LCM,104.89,109.89,114.89,119.89,129.89,139.89
15-16,Boys,400 FR-R,LCM,229.89,240.89,251.79,262.79,284.69,306.49
15-16,Boys,800 FR-R,LCM,512.59,536.99,561.39,585.79,634.69,683.49
15-16,Boys,200 MED-R,LCM,116.29,121.89,127.39,132.89,143.99,155.09
15-16,Boys,400 MED-R,LCM,255.89,268.09,280.19,292.39,316.79,341.19
17-18,Girls,50 FR,LCM,35.89,33.29,30.69,29.49,28.19,26.89
17-18,Girls,100 FR,LCM,77.69,72.19,66.59,63.89,61.09,58.29
17-18,Girls,200 FR,LCM,167.69,155.69,143.69,137.69,131.69,125.79
17-18,Girls,400 FR,LCM,353.39,328.19,302.99,290.29,277.69,265.09
17-18,Girls,800 FR,LCM,730.29,678.19,625.99,599.89,573.79,547.79
17-18,Girls,1500 FR,LCM,1400.89,1300.79,1200.79,1150.79,1100.69,1050.69
17-18,Girls,100 BK,LCM,85.89,79.79,73.69,70.59,67.49,64.49
17-18,Girls,200 BK,LCM,185.79,172.49,159.19,152.59,145.99,139.29
17-18,Girls,100 BR,LCM,97.49,90.49,83.59,80.09,76.59,73.09
17-18,Girls,200 BR,LCM,209.89,194.99,179.99,172.49,164.99,157.49
17-18,Girls,100 FL,LCM,83.59,77.69,71.69,68.69,65.69,62.69
17-18,Girls,200 FL,LCM,184.49,171.39,158.19,151.59,144.99,138.39
17-18,Girls,200 IM,LCM,189.29,175.79,162.29,155.49,148.79,141.99
17-18,Girls,400 IM,LCM,400.29,371.69,343.09,328.79,314.49,300.29
17-18,Girls,200 FR-R,LCM,154.19,143.19,132.19,126.69,121.19,115.59
17-18,Girls,400 FR-R,LCM,334.19,310.29,286.39,274.49,262.59,250.59
17-18,Girls,800 FR-R,LCM,735.79,683.29,630.69,604.39,578.19,551.89
17-18,Girls,200 MED-R,LCM,171.39,159.09,146.89,140.79,134.69,128.49
17-18,Girls,400 MED-R,LCM,370.89,344.39,317.89,304.69,291.39,278.19
17-18,Boys,50 FR,LCM,23.99,25.09,26.19,27.39,29.59,31.89
17-18,Boys,100 FR,LCM,52.39,54.89,57.39,59.89,64.89,69.89
17-18,Boys,200 FR,LCM,114.69,120.09,125.59,131.09,141.99,152.89
17-18,Boys,400 FR,LCM,244.89,256.49,268.19,279.79,303.09,326.49
17-18,Boys,800 FR,LCM,508.49,532.69,556.89,581.09,629.49,677.89
17-18,Boys,1500 FR,LCM,979.39,1025.99,1072.59,1119.29,1212.49,1305.79
17-18,Boys,100 BK,LCM,58.19,60.89,63.69,66.49,71.99,77.49
17-18,Boys,200 BK,LCM,126.89,132.89,138.99,144.99,157.09,169.19
17-18,Boys,100 BR,LCM,65.09,68.19,71.29,74.39,80.59,86.69
17-18,Boys,200 BR,LCM,141.89,148.59,155.39,162.19,175.69,189.19
17-18,Boys,100 FL,LCM,55.99,58.69,61.29,63.99,69.29,74.59
17-18,Boys,200 FL,LCM,125.29,131.29,137.19,143.19,155.09,166.99
17-18,Boys,200 IM,LCM,128.99,135.09,141.19,147.39,159.59,171.89
17-18,Boys,400 IM,LCM,275.69,288.79,301.89,315.09,341.29,367.59
17-18,Boys,200 FR-R,LCM,100.99,105.79,110.59,115.39,124.99,134.59
17-18,Boys,400 FR-R,LCM,220.49,230.99,241.49,251.99,272.99,293.99
17-18,Boys,800 FR-R,LCM,490.89,514.19,537.59,560.99,607.69,654.49
17-18,Boys,200 MED-R,LCM,111.39,116.69,121.99,127.29,137.89,148.49
17-18,Boys,400 MED-R,LCM,242.89,254.49,266.09,277.59,300.79,323.89
