standard_type,age_group,age,gender,distance,stroke,sort_order,course,b,bb,a,aa,aaa,aaaa
single_age,,12,boys,1650,fr,1,scy,1468.59,1363.69,1258.79,1206.39,1153.89,1101.49
single_age,,12,girls,50,bk,2,scy,38.79,36.09,33.29,31.89,30.49,29.09
single_age,,12,boys,50,bk,2,scy,38.49,35.59,32.69,31.19,29.69,28.19
single_age,,12,girls,100,bk,2,scy,86.59,79.79,72.99,69.59,66.19,62.69
single_age,,12,boys,100,bk,2,scy,82.19,75.69,69.29,65.99,62.79,59.49
single_age,,12,girls,200,bk,2,scy,180.09,167.19,154.39,147.89,141.49,135.09
single_age,,12,boys,200,bk,2,scy,172.89,160.49,148.19,141.99,135.89,129.69
single_age,,12,girls,50,br,3,scy,43.99,40.89,37.69,36.19,34.59,32.99
single_age,,12,boys,50,br,3,scy,43.49,40.09,36.69,34.99,33.29,31.49
single_age,,12,girls,100,br,3,scy,96.49,89.39,82.19,78.69,75.09,71.49
single_age,,12,boys,100,br,3,scy,92.59,85.49,78.39,74.89,71.39,67.79
single_age,,12,girls,200,br,3,scy,205.89,191.19,176.49,169.09,161.79,154.39
single_age,,12,boys,200,br,3,scy,196.49,182.39,168.39,161.39,154.39,147.39
single_age,,12,girls,50,fl,4,scy,36.99,34.29,31.69,30.39,29.09,27.79
single_age,,12,boys,50,fl,4,scy,37.09,34.19,31.19,29.69,28.19,26.69
single_age,,12,girls,100,fl,4,scy,86.09,79.19,72.29,68.89,65.49,61.99
single_age,,12,boys,100,fl,4,scy,82.89,76.09,69.29,65.89,62.49,59.09
single_age,,12,girls,200,fl,4,scy,183.39,170.29,157.19,150.59,144.09,137.59
single_age,,12,boys,200,fl,4,scy,176.69,164.09,151.49,145.19,138.89,132.49
single_age,,12,girls,100,im,5,scy,85.29,79.19,73.09,70.09,66.99,63.99
single_age,,12,boys,100,im,5,scy,81.89,75.89,69.99,66.99,63.99,61.09
single_age,,12,girls,200,im,5,scy,183.99,170.79,157.69,151.09,144.59,137.99
single_age,,12,boys,200,im,5,scy,179.29,165.79,152.29,145.59,138.79,132.09
single_age,,12,girls,400,im,5,scy,392.29,364.29,336.29,322.29,308.29,294.29
single_age,,12,boys,400,im,5,scy,377.39,350.49,323.49,309.99,296.49,283.09
single_age,,13,girls,50,fr,1,scy,33.29,30.89,28.59,27.39,26.19,24.99
single_age,,13,boys,50,fr,1,scy,31.09,28.89,26.69,25.59,24.39,23.29
single_age,,13,girls,100,fr,1,scy,72.49,67.29,62.09,59.59,56.99,54.39
single_age,,13,boys,100,fr,1,scy,67.59,62.69,57.89,55.49,53.09,50.69
single_age,,13,girls,200,fr,1,scy,157.69,146.49,135.19,129.59,123.89,118.29
single_age,,13,boys,200,fr,1,scy,147.79,137.19,126.69,121.39,116.09,110.79
single_age,,13,girls,500,fr,1,scy,420.59,390.59,360.49,345.49,330.49,315.49
single_age,,13,boys,500,fr,1,scy,398.69,370.19,341.69,327.49,313.29,298.99
single_age,,13,girls,1000,fr,1,scy,875.79,813.29,750.69,719.39,688.19,656.89
single_age,,13,boys,1000,fr,1,scy,824.89,765.99,707.09,677.59,648.19,618.69
single_age,,13,girls,1650,fr,1,scy,1456.79,1352.69,1248.69,1196.69,1144.59,1092.59
single_age,,13,boys,1650,fr,1,scy,1387.49,1288.39,1189.29,1139.69,1090.19,1040.59
single_age,,13,girls,50,bk,2,scy,37.19,34.59,31.89,30.59,29.29,27.89
single_age,,13,boys,50,bk,2,scy,35.39,32.89,30.39,29.09,27.89,26.59
single_age,,13,girls,100,bk,2,scy,79.29,73.59,67.99,65.09,62.29,59.49
single_age,,13,boys,100,bk,2,scy,74.39,69.09,63.79,61.09,58.49,55.79
single_age,,13,girls,200,bk,2,scy,170.99,158.79,146.59,140.39,134.29,128.19
single_age,,13,boys,200,bk,2,scy,162.09,150.59,138.99,133.19,127.39,121.59
single_age,,13,girls,50,br,3,scy,43.19,40.09,36.99,35.49,33.99,32.39
single_age,,13,boys,50,br,3,scy,40.49,37.59,34.69,33.29,31.79,30.39
single_age,,13,girls,100,br,3,scy,90.99,84.49,77.99,74.69,71.49,68.19
single_age,,13,boys,100,br,3,scy,84.29,78.29,72.29,69.29,66.29,63.29
single_age,,13,girls,200,br,3,scy,195.99,181.99,167.99,160.99,153.99,146.99
single_age,,13,boys,200,br,3,scy,182.99,169.89,156.79,150.29,143.79,137.19
single_age,,13,girls,50,fl,4,scy,36.69,34.09,31.49,30.19,28.79,27.49
single_age,,13,boys,50,fl,4,scy,34.69,32.19,29.69,28.49,27.29,25.99
single_age,,13,girls,100,fl,4,scy,78.89,73.29,67.59,64.79,61.99,59.19
single_age,,13,boys,100,fl,4,scy,73.79,68.49,63.19,60.59,57.99,55.29
single_age,,13,girls,200,fl,4,scy,176.29,163.69,151.09,144.79,138.49,132.19
single_age,,13,boys,200,fl,4,scy,165.29,153.49,141.69,135.79,129.89,123.99
single_age,,13,girls,200,im,5,scy,176.69,164.09,151.39,145.09,138.79,132.49
single_age,,13,boys,200,im,5,scy,164.69,152.89,141.19,135.29,129.39,123.49
single_age,,13,girls,400,im,5,scy,374.09,347.39,320.69,307.29,293.99,280.59
single_age,,13,boys,400,im,5,scy,352.79,327.59,302.39,289.79,277.19,264.59
single_age,,14,girls,50,fr,1,scy,32.69,30.39,27.99,26.89,25.69,24.49
single_age,,14,boys,50,fr,1,scy,29.89,27.69,25.59,24.59,23.49,22.39
single_age,,14,girls,100,fr,1,scy,70.99,65.89,60.89,58.29,55.79,53.29
single_age,,14,boys,100,fr,1,scy,65.09,60.39,55.79,53.49,51.19,48.79
single_age,,14,girls,200,fr,1,scy,153.79,142.89,131.89,126.39,120.89,115.39
single_age,,14,boys,200,fr,1,scy,142.59,132.39,122.19,117.09,111.99,106.89
single_age,,14,girls,500,fr,1,scy,412.29,382.89,353.39,338.69,323.99,309.29
single_age,,14,boys,500,fr,1,scy,385.99,358.39,330.79,317.09,303.29,289.49
single_age,,14,girls,1000,fr,1,scy,852.09,791.19,730.39,699.89,669.49,639.09
single_age,,14,boys,1000,fr,1,scy,801.49,744.29,686.99,658.39,629.79,601.19
single_age,,14,girls,1650,fr,1,scy,1425.29,1323.49,1221.69,1170.79,1119.89,1068.99
single_age,,14,boys,1650,fr,1,scy,1343.29,1247.39,1151.39,1103.49,1055.49,1007.49
single_age,,14,girls,50,bk,2,scy,36.59,33.99,31.39,29.99,28.69,27.39
single_age,,14,boys,50,bk,2,scy,33.69,31.29,28.89,27.69,26.49,25.29
single_age,,14,girls,100,bk,2,scy,77.19,71.69,66.19,63.39,60.69,57.89
single_age,,14,boys,100,bk,2,scy,71.39,66.29,61.19,58.59,56.09,53.49
single_age,,14,girls,200,bk,2,scy,167.89,155.89,143.89,137.89,131.89,125.99
single_age,,14,boys,200,bk,2,scy,155.19,144.09,132.99,127.49,121.99,116.39
single_age,,14,girls,50,br,3,scy,42.09,39.09,36.09,34.59,33.09,31.59
single_age,,14,boys,50,br,3,scy,38.59,35.79,33.09,31.69,30.29,28.89
single_age,,14,girls,100,br,3,scy,88.69,82.39,76.09,72.89,69.69,66.59
single_age,,14,boys,100,br,3,scy,80.59,74.89,69.09,66.19,63.39,60.49
single_age,,14,girls,200,br,3,scy,190.99,177.39,163.79,156.89,150.09,143.29
single_age,,14,boys,200,br,3,scy,175.29,162.79,150.29,143.99,137.79,131.49
single_age,,14,girls,50,fl,4,scy,35.99,33.39,30.89,29.59,28.29,26.99
single_age,,14,boys,50,fl,4,scy,33.19,30.79,28.39,27.29,26.09,24.89
single_age,,14,girls,100,fl,4,scy,76.89,71.39,65.89,63.19,60.39,57.69
single_age,,14,boys,100,fl,4,scy,70.49,65.49,60.39,57.89,55.39,52.89
single_age,,14,girls,200,fl,4,scy,171.39,159.19,146.89,140.79,134.69,128.59
single_age,,14,boys,200,fl,4,scy,156.89,145.69,134.49,128.89,123.29,117.69
single_age,,14,girls,200,im,5,scy,172.49,160.19,147.89,141.69,135.59,129.39
single_age,,14,boys,200,im,5,scy,157.99,146.69,135.39,129.79,124.09,118.49
single_age,,14,girls,400,im,5,scy,366.19,339.99,313.89,300.79,287.69,274.59
single_age,,14,boys,400,im,5,scy,337.69,313.59,289.49,277.39,265.39,253.29
single_age,,15,girls,50,fr,1,scy,32.29,29.99,27.69,26.49,25.39,24.19
single_age,,15,boys,50,fr,1,scy,28.89,26.79,24.69,23.69,22.69,21.69
single_age,,15,girls,100,fr,1,scy,70.09,65.09,60.09,57.59,55.09,52.59
single_age,,15,boys,100,fr,1,scy,63.29,58.79,54.29,51.99,49.79,47.49
single_age,,15,girls,200,fr,1,scy,151.39,140.49,129.69,124.29,118.89,113.49
single_age,,15,boys,200,fr,1,scy,138.29,128.39,118.59,113.59,108.69,103.79
single_age,,15,girls,500,fr,1,scy,408.19,378.99,349.89,335.29,320.69,306.09
single_age,,15,boys,500,fr,1,scy,376.29,349.49,322.59,309.09,295.69,282.29
single_age,,15,girls,1000,fr,1,scy,839.89,779.89,719.89,689.89,659.89,629.89
single_age,,15,boys,1000,fr,1,scy,783.69,727.69,671.79,643.79,615.79,587.79
single_age,,15,girls,1650,fr,1,scy,1420.99,1319.49,1217.99,1167.19,1116.49,1065.69
single_age,,15,boys,1650,fr,1,scy,1307.69,1214.29,1120.89,1074.19,1027.49,980.79
single_age,,15,girls,100,bk,2,scy,75.89,70.49,65.09,62.39,59.69,56.99
single_age,,15,boys,100,bk,2,scy,69.49,64.49,59.59,57.09,54.59,52.09
single_age,,15,girls,200,bk,2,scy,164.89,153.09,141.29,135.39,129.49,123.69
single_age,,15,boys,200,bk,2,scy,151.79,140.99,130.09,124.69,119.29,113.89
single_age,,15,girls,100,br,3,scy,87.49,81.19,74.99,71.89,68.69,65.59
single_age,,15,boys,100,br,3,scy,78.59,72.99,67.39,64.59,61.79,58.99
single_age,,15,girls,200,br,3,scy,188.19,174.69,161.29,154.59,147.89,141.19
single_age,,15,boys,200,br,3,scy,171.49,159.19,146.99,140.89,134.79,128.59
single_age,,15,girls,100,fl,4,scy,75.79,70.39,64.99,62.29,59.59,56.79
single_age,,15,boys,100,fl,4,scy,68.69,63.79,58.89,56.39,53.99,51.49
single_age,,15,girls,200,fl,4,scy,168.19,156.19,144.19,138.19,132.19,126.19
single_age,,15,boys,200,fl,4,scy,153.99,142.99,131.99,126.49,120.99,115.49
single_age,,15,girls,200,im,5,scy,168.89,156.89,144.79,138.79,132.69,126.69
single_age,,15,boys,200,im,5,scy,154.19,143.19,132.19,126.69,121.19,115.69
single_age,,15,girls,400,im,5,scy,362.79,336.89,310.99,297.99,285.09,272.09
single_age,,15,boys,400,im,5,scy,331.59,307.89,284.19,272.39,260.49,248.69
single_age,,16,girls,50,fr,1,scy,31.99,29.69,27.39,26.29,25.09,23.99
single_age,,16,boys,50,fr,1,scy,28.49,26.39,24.39,23.39,22.39,21.39
single_age,,16,girls,100,fr,1,scy,69.39,64.39,59.49,56.99,54.49,51.99
single_age,,16,boys,100,fr,1,scy,62.39,57.89,53.49,51.29,48.99,46.79
single_age,,16,girls,200,fr,1,scy,149.39,138.69,128.09,122.69,117.39,112.09
