Age Group,Gender,Event,B,BB,A,AA,AAA,AAAA
13-14,Boys,400 MED-R LCM,5:49.09,5:24.09,4:59.19,4:46.79,4:34.29,4:21.79
15-16,Girls,50 FR LCM,36.09,33.49,30.89,29.59,28.29,27.09
15-16,Girls,100 FR LCM,1:18.39,1:12.79,1:07.19,1:04.39,1:01.59,58.79
15-16,Girls,200 FR LCM,2:49.19,2:37.09,2:25.09,2:18.99,2:12.99,2:06.89
15-16,Girls,400 FR LCM,5:55.19,5:29.89,5:04.49,4:51.79,4:39.09,4:26.39
15-16,Girls,800 FR LCM,12:17.79,11:25.09,10:32.39,10:05.99,9:39.69,9:13.29
15-16,Girls,1500 FR LCM,23:33.49,21:52.49,20:11.59,19:21.09,18:30.59,17:40.09
15-16,Girls,100 BK LCM,1:26.89,1:20.69,1:14.49,1:11.39,1:08.29,1:05.19
15-16,Girls,200 BK LCM,3:06.79,2:53.39,2:40.09,2:33.39,2:26.79,2:20.09
15-16,Girls,100 BR LCM,1:38.59,1:31.59,1:24.49,1:20.99,1:17.49,1:13.99
15-16,Girls,200 BR LCM,3:32.49,3:17.29,3:02.09,2:54.49,2:46.99,2:39.39
15-16,Girls,100 FL LCM,1:24.29,1:18.29,1:12.29,1:09.29,1:06.29,1:03.29
15-16,Girls,200 FL LCM,3:07.79,2:54.39,2:40.99,2:34.29,2:27.59,2:20.89
15-16,Girls,200 IM LCM,3:11.19,2:57.49,2:43.89,2:36.99,2:30.19,2:23.39
15-16,Girls,400 IM LCM,6:44.69,6:15.79,5:46.89,5:32.49,5:17.99,5:03.59
15-16,Girls,200 FR-R LCM,2:36.49,2:25.39,2:14.19,2:08.59,2:02.99,1:57.39
15-16,Girls,400 FR-R LCM,5:41.09,5:16.79,4:52.39,4:40.19,4:27.99,4:15.89
15-16,Girls,800 FR-R LCM,12:25.39,11:32.19,10:38.89,10:12.29,9:45.69,9:19.09
15-16,Girls,200 MED-R LCM,2:53.99,2:41.49,2:29.09,2:22.89,2:16.69,2:10.49
15-16,Girls,400 MED-R LCM,6:14.39,5:47.69,5:20.89,5:07.59,4:54.19,4:40.79
15-16,Boys,50 FR LCM,32.89,30.59,28.19,26.99,25.89,24.69
15-16,Boys,100 FR LCM,1:11.79,1:06.69,1:01.49,58.99,56.39,53.79
15-16,Boys,200 FR LCM,2:36.59,2:25.39,2:14.29,2:08.69,2:03.09,1:57.49
15-16,Boys,400 FR LCM,5:34.09,5:10.19,4:46.39,4:34.39,4:22.49,4:10.59
15-16,Boys,800 FR LCM,11:33.99,10:44.39,9:54.79,9:29.99,9:05.29,8:40.49
15-16,Boys,1500 FR LCM,22:08.29,20:33.39,18:58.49,18:11.09,17:23.59,16:36.19
15-16,Boys,100 BK LCM,1:19.39,1:13.69,1:07.99,1:05.19,1:02.39,59.49
15-16,Boys,200 BK LCM,2:52.29,2:39.99,2:27.69,2:21.49,2:15.39,2:09.19
15-16,Boys,100 BR LCM,1:29.49,1:23.09,1:16.69,1:13.49,1:10.29,1:07.09
15-16,Boys,200 BR LCM,3:14.49,3:00.59,2:46.69,2:39.79,2:32.79,2:25.89
15-16,Boys,100 FL LCM,1:16.79,1:11.29,1:05.79,1:03.09,1:00.29,57.59
15-16,Boys,200 FL LCM,2:51.69,2:39.49,2:27.19,2:21.09,2:14.89,2:08.79
15-16,Boys,200 IM LCM,2:56.19,2:43.59,2:30.99,2:24.69,2:18.39,2:12.09
15-16,Boys,400 IM LCM,6:14.69,5:47.99,5:21.19,5:07.79,4:54.39,4:41.09
