Age Group,Gender,Event,Course,B,BB,A,AA,AAA,AAAA
13-14,Girls,500 FR,SCY,412.19,382.79,353.39,338.59,323.89,309.19
13-14,Girls,1000 FR,SCY,851.09,790.29,729.49,699.09,668.69,638.29
13-14,Girls,1650 FR,SCY,1422.89,1321.19,1219.59,1168.79,1117.99,1067.19
13-14,Girls,50 BK,SCY,36.19,33.69,31.09,29.79,28.49,27.19
13-14,Girls,100 BK,SCY,76.89,71.39,65.89,63.19,60.49,57.69
13-14,Girls,200 BK,SCY,166.39,154.49,142.59,136.69,130.69,124.79
13-14,Girls,50 BR,SCY,42.09,39.09,36.09,34.59,33.09,31.59
13-14,Girls,100 BR,SCY,88.69,82.29,75.99,72.89,69.69,66.49
13-14,Girls,200 BR,SCY,190.99,177.39,163.79,156.89,150.09,143.29
13-14,Girls,50 FL,SCY,35.79,33.29,30.69,29.39,28.19,26.89
13-14,Girls,100 FL,SCY,76.79,71.29,65.89,63.09,60.39,57.59
13-14,Girls,200 FL,SCY,171.19,158.99,146.69,140.59,134.49,128.39
13-14,Girls,200 IM,SCY,171.79,159.49,147.19,141.09,134.99,128.79
13-14,Girls,400 IM,SCY,365.79,339.69,313.49,300.49,287.39,274.29
13-14,Girls,200 FR-R,SCY,136.29,126.59,116.89,111.99,107.09,102.29
13-14,Girls,400 FR-R,SCY,297.29,275.99,254.79,244.19,233.59,222.99
13-14,Girls,800 FR-R,SCY,649.19,602.79,556.39,533.29,510.09,486.89
13-14,Girls,200 MED-R,SCY,149.89,139.19,128.49,123.09,117.79,112.39
13-14,Girls,400 MED-R,SCY,326.89,303.59,280.19,268.59,256.89,245.19
13-14,Boys,50 FR,SCY,22.39,23.49,24.59,25.59,27.69,29.89
13-14,Boys,100 FR,SCY,48.69,51.09,53.39,55.69,60.29,64.99
13-14,Boys,200 FR,SCY,106.89,111.99,117.09,122.19,132.29,142.49
13-14,Boys,500 FR,SCY,289.29,303.09,316.89,330.59,358.19,385.69
13-14,Boys,1000 FR,SCY,598.49,626.99,655.49,683.99,740.99,797.99
13-14,Boys,1650 FR,SCY,1007.19,1055.19,1103.09,1151.09,1246.99,1342.89
13-14,Boys,50 BK,SCY,25.29,26.49,27.69,28.89,31.29,33.69
13-14,Boys,100 BK,SCY,53.49,55.99,58.59,61.09,66.19,71.29
13-14,Boys,200 BK,SCY,115.99,121.59,127.09,132.59,143.69,154.69
13-14,Boys,50 BR,SCY,28.89,30.29,31.69,33.09,35.79,38.59
13-14,Boys,100 BR,SCY,60.39,63.29,66.19,68.99,74.79,80.49
13-14,Boys,200 BR,SCY,131.19,137.39,143.59,149.89,162.39,174.89
13-14,Boys,50 FL,SCY,24.89,26.09,27.19,28.39,30.79,33.19
13-14,Boys,100 FL,SCY,52.89,55.39,57.89,60.39,65.49,70.49
13-14,Boys,200 FL,SCY,117.59,123.19,128.79,134.39,145.59,156.79
13-14,Boys,200 IM,SCY,118.49,124.09,129.79,135.39,146.69,157.99
13-14,Boys,400 IM,SCY,253.29,265.39,277.39,289.49,313.59,337.69
13-14,Boys,200 FR-R,SCY,93.69,98.19,102.59,107.09,115.99,124.89
13-14,Boys,400 FR-R,SCY,204.89,214.59,224.39,234.19,253.69,273.19
13-14,Boys,800 FR-R,SCY,453.29,474.89,496.39,517.99,561.19,604.39
13-14,Boys,200 MED-R,SCY,103.69,108.59,113.59,118.49,128.39,138.19
13-14,Boys,400 MED-R,SCY,224.49,235.19,245.89,256.49,277.89,299.29
15-16,Girls,50 FR,SCY,31.79,29.49,27.29,26.09,24.99,23.89
15-16,Girls,100 FR,SCY,68.79,63.79,58.89,56.49,53.99,51.59
15-16,Girls,200 FR,SCY,148.99,138.39,127.69,122.39,117.09,111.79
15-16,Girls,500 FR,SCY,400.99,372.39,343.69,329.39,315.09,300.79
15-16,Girls,1000 FR,SCY,832.89,773.49,713.99,684.19,654.49,624.69
15-16,Girls,1650 FR,SCY,1395.89,1296.19,1196.49,1146.69,1096.79,1046.89
15-16,Girls,100 BK,SCY,74.69,69.39,64.09,61.39,58.69,56.09
15-16,Girls,200 BK,SCY,162.19,150.59,139.09,133.29,127.49,121.69
15-16,Girls,100 BR,SCY,85.89,79.79,73.69,70.59,67.49,64.49
15-16,Girls,200 BR,SCY,185.99,172.69,159.39,152.79,146.19,139.49
15-16,Girls,100 FL,SCY,74.39,69.09,63.79,61.09,58.39,55.79
15-16,Girls,200 FL,SCY,165.79,153.99,142.09,136.19,130.29,124.39
15-16,Girls,200 IM,SCY,166.19,154.29,142.39,136.49,130.59,124.59
15-16,Girls,400 IM,SCY,354.99,329.69,304.29,291.59,278.99,266.29
15-16,Girls,200 FR-R,SCY,135.19,125.59,115.89,111.09,106.29,101.39
15-16,Girls,400 FR-R,SCY,294.89,273.79,252.79,242.29,231.69,221.19
