age_group,gender,distance,stroke,course,event_name,tags_time,bonus_time
13-14,Boys,200,FR,LC,200 FR,1:49.49,
13-14,Boys,400,FR,LC,400 FR,3:57.69,
13-14,Boys,800,FR,LC,800 FR,8:43.49,
13-14,Boys,200,MR,LC,200 MR,2:01.99,
13-14,Boys,400,MR,LC,400 MR,4:25.79,
13-14,Girls,50,Fr,SC,50 Fr,25.29,25.79
13-14,Girls,100,Fr,SC,100 Fr,54.19,54.79
13-14,Girls,200,Fr,SC,200 Fr,1:56.99,1:57.39
13-14,Girls,500,Fr,SC,500 Fr,5:13.59,5:15.39
13-14,Girls,1000,Fr,SC,1000 Fr,10:56.29,10:59.29
13-14,Girls,1650,Fr,SC,1650 Fr,18:14.49,18:22.89
13-14,Girls,100,Bk,SC,100 Bk,1:00.29,1:01.29
13-14,Girls,200,Bk,SC,200 Bk,2:09.99,2:10.89
13-14,Girls,100,Br,SC,100 Br,1:09.19,1:10.49
13-14,Girls,200,Br,SC,200 Br,2:29.59,2:32.99
13-14,Girls,100,Fly,SC,100 Fly,59.49,1:00.59
13-14,Girls,200,Fly,SC,200 Fly,2:13.09,2:16.19
13-14,Girls,200,IM,SC,200 IM,2:13.39,2:14.99
13-14,Girls,400,IM,SC,400 IM,4:41.99,4:46.59
13-14,Girls,200,FR,SC,200 FR,1:42.29,
13-14,Girls,400,FR,SC,400 FR,3:42.69,
13-14,Girls,800,FR,SC,800 FR,8:00.19,
13-14,Girls,200,MR,SC,200 MR,1:53.19,
13-14,Girls,400,MR,SC,400 MR,4:08.19,
11-12,Girls,50,Fr,SC,50 Fr,26.99,27.39
11-12,Girls,100,Fr,SC,100 Fr,57.59,57.99
11-12,Girls,200,Fr,SC,200 Fr,2:03.99,2:05.49
11-12,Girls,500,Fr,SC,500 Fr,5:31.19,5:34.39
11-12,Girls,50,Bk,SC,50 Bk,30.69,30.89
11-12,Girls,100,Bk,SC,100 Bk,1:05.39,1:05.99
11-12,Girls,200,Bk,SC,200 Bk,2:20.89,2:22.09
11-12,Girls,50,Br,SC,50 Br,34.69,35.19
11-12,Girls,100,Br,SC,100 Br,1:15.39,1:16.49
11-12,Girls,200,Br,SC,200 Br,2:41.29,2:42.19
11-12,Girls,50,Fly,SC,50 Fly,28.99,29.29
11-12,Girls,100,Fly,SC,100 Fly,1:04.79,1:05.39
11-12,Girls,200,Fly,SC,200 Fly,2:25.99,2:27.69
11-12,Girls,100,IM,SC,100 IM,1:05.89,1:06.39
11-12,Girls,200,IM,SC,200 IM,2:20.59,2:21.59
11-12,Girls,200,FR,SC,200 FR,1:47.69,
11-12,Girls,400,FR,SC,400 FR,3:56.09,
11-12,Girls,200,MR,SC,200 MR,1:59.89,
11-12,Girls,400,MR,SC,400 MR,4:24.29,
10&U,Girls,50,Fr,SC,50 Fr,30.49,30.99
10&U,Girls,100,Fr,SC,100 Fr,1:06.19,1:06.89
10&U,Girls,200,Fr,SC,200 Fr,2:20.29,2:23.29
10&U,Girls,500,Fr,SC,500 Fr,6:16.99,6:23.39
10&U,Girls,50,Bk,SC,50 Bk,34.69,35.19
10&U,Girls,100,Bk,SC,100 Bk,1:14.19,1:15.69
10&U,Girls,50,Br,SC,50 Br,39.99,40.59
10&U,Girls,100,Br,SC,100 Br,1:26.99,1:27.79
10&U,Girls,50,Fly,SC,50 Fly,33.39,34.09
10&U,Girls,100,Fly,SC,100 Fly,1:16.39,1:18.89
10&U,Girls,100,IM,SC,100 IM,1:14.99,1:16.29
10&U,Girls,200,IM,SC,200 IM,2:40.99,2:42.69
10&U,Girls,200,FR,SC,200 FR,2:03.59,
10&U,Girls,400,FR,SC,400 FR,4:34.79,
10&U,Girls,200,MR,SC,200 MR,2:18.59,
10&U,Boys,50,Fr,SC,50 Fr,29.99,30.39
10&U,Boys,100,Fr,SC,100 Fr,1:04.99,1:06.19
10&U,Boys,200,Fr,SC,200 Fr,2:21.99,2:23.19
10&U,Boys,500,Fr,SC,500 Fr,6:18.09,6:24.79
10&U,Boys,50,Bk,SC,50 Bk,34.59,35.39
10&U,Boys,100,Bk,SC,100 Bk,1:14.19,1:15.79
10&U,Boys,50,Br,SC,50 Br,40.29,40.89
10&U,Boys,100,Br,SC,100 Br,1:27.59,1:28.99
10&U,Boys,50,Fly,SC,50 Fly,33.29,33.79
10&U,Boys,100,Fly,SC,100 Fly,1:16.89,1:18.79
10&U,Boys,100,IM,SC,100 IM,1:15.19,1:16.09
10&U,Boys,200,IM,SC,200 IM,2:40.49,2:43.69
10&U,Boys,200,FR,SC,200 FR,2:04.19,
10&U,Boys,400,FR,SC,400 FR,4:35.69,
10&U,Boys,200,MR,SC,200 MR,2:20.49,
11-12,Boys,50,Fr,SC,50 Fr,25.99,26.39
11-12,Boys,100,Fr,SC,100 Fr,55.79,56.49
11-12,Boys,200,Fr,SC,200 Fr,2:01.99,2:02.69
11-12,Boys,500,Fr,SC,500 Fr,5:28.49,5:32.19
11-12,Boys,50,Bk,SC,50 Bk,30.19,30.49
11-12,Boys,100,Bk,SC,100 Bk,1:04.69,1:04.99
11-12,Boys,200,Bk,SC,200 Bk,2:17.99,2:20.09
11-12,Boys,50,Br,SC,50 Br,34.09,34.49
11-12,Boys,100,Br,SC,100 Br,1:14.99,1:15.79
11-12,Boys,200,Br,SC,200 Br,2:38.49,2:41.89
11-12,Boys,50,Fly,SC,50 Fly,28.49,28.69
11-12,Boys,100,Fly,SC,100 Fly,1:03.29,1:04.09
11-12,Boys,200,Fly,SC,200 Fly,2:22.39,2:23.89
11-12,Boys,100,IM,SC,100 IM,1:04.59,1:05.79
