age_group,gender,event,course,B,BB,A,AA,AAA,AAAA
11-12,Girls,200 FR,SCY,2:42.59,2:30.89,2:19.29,2:13.49,2:07.69,2:01.89
11-12,Girls,500 FR,SCY,7:16.89,6:45.69,6:14.49,5:58.89,5:43.29,5:27.69
11-12,Girls,1000 FR,SCY,15:02.69,13:58.19,12:53.79,12:21.49,11:49.29,11:16.99
11-12,Girls,1650 FR,SCY,25:07.39,23:19.69,21:32.09,20:38.19,19:44.39,18:50.59
11-12,Girls,50 BK,SCY,38.79,35.99,33.19,31.79,30.49,29.09
11-12,Girls,100 BK,SCY,1:26.59,1:19.79,1:12.99,1:09.59,1:06.19,1:02.69
11-12,Girls,200 BK,SCY,2:59.49,2:46.69,2:33.89,2:27.49,2:20.99,2:14.59
11-12,Girls,50 BR,SCY,43.99,40.89,37.69,36.19,34.59,32.99
11-12,Girls,100 BR,SCY,1:36.49,1:29.29,1:22.19,1:18.59,1:15.09,1:11.49
11-12,Girls,200 BR,SCY,3:25.69,3:10.99,2:56.29,2:48.99,2:41.69,2:34.29
11-12,Girls,50 FL,SCY,36.89,34.29,31.59,30.29,28.99,27.69
11-12,Girls,100 FL,SCY,1:25.79,1:18.89,1:12.09,1:08.59,1:05.19,1:01.79
11-12,Girls,200 FL,SCY,3:03.39,2:50.29,2:37.19,2:30.59,2:24.09,2:17.59
11-12,Girls,100 IM,SCY,1:25.19,1:19.09,1:13.09,1:09.99,1:06.99,1:03.89
11-12,Girls,200 IM,SCY,3:03.89,2:50.69,2:37.59,2:30.99,2:24.49,2:17.89
11-12,Girls,400 IM,SCY,6:31.69,6:03.69,5:35.79,5:21.79,5:07.79,4:53.79
11-12,Girls,200 FR-R,SCY,2:24.79,2:14.39,2:04.09,1:58.89,1:53.79,1:48.59
11-12,Girls,400 FR-R,SCY,5:18.09,4:55.39,4:32.69,4:21.29,4:09.99,3:58.59
11-12,Girls,200 MED-R,SCY,2:41.19,2:29.69,2:18.19,2:12.39,2:06.69,2:00.89
11-12,Girls,400 MED-R,SCY,5:53.49,5:28.29,5:02.99,4:50.39,4:37.79,4:25.09
11-12,Boys,50 FR,SCY,32.79,30.49,28.09,26.99,25.79,24.59
11-12,Boys,100 FR,SCY,1:11.49,1:06.39,1:01.29,58.69,56.19,53.59
11-12,Boys,200 FR,SCY,2:35.99,2:24.89,2:13.69,2:08.19,2:02.59,1:56.99
11-12,Boys,500 FR,SCY,6:59.89,6:29.99,5:59.99,5:44.99,5:29.99,5:14.99
11-12,Boys,1000 FR,SCY,14:43.49,13:40.39,12:37.29,12:05.79,11:34.19,11:02.59
11-12,Boys,1650 FR,SCY,24:27.69,22:42.89,20:58.09,20:05.59,19:13.19,18:20.79
11-12,Boys,50 BK,SCY,38.49,35.59,32.69,31.19,29.69,28.19
11-12,Boys,100 BK,SCY,1:22.19,1:15.69,1:09.29,1:05.99,1:02.79,59.49
11-12,Boys,200 BK,SCY,2:52.89,2:40.49,2:28.19,2:21.99,2:15.89,2:09.69
11-12,Boys,50 BR,SCY,43.49,40.09,36.69,34.99,33.29,31.49
11-12,Boys,100 BR,SCY,1:32.59,1:25.49,1:18.39,1:14.89,1:11.39,1:07.79
11-12,Boys,200 BR,SCY,3:16.39,3:02.39,2:48.39,2:41.39,2:34.39,2:27.29
11-12,Boys,50 FL,SCY,37.09,34.19,31.19,29.69,28.19,26.69
11-12,Boys,100 FL,SCY,1:22.89,1:16.09,1:09.29,1:05.89,1:02.49,59.09
